First Name,Last Name,Country,Jurisdiction,Political Group,"26 March 2019
Final Vote","26 March 2019
Procedural Vote","Pledge
2019","Sept 18 Vote
DELETE","Sept 18 Vote
IMCO","Sept 18 Vote
VOSS","Sept 18 Vote
REPORT","June 18 Vote
Negotiations",National Political Group,National Political Group (Short),Email,Twitter,EP Webpage,
Heinz K.,Becker,Austria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Österreichische Volkspartei,ÖVP,heinzk.becker@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/107041/_home.html,
Eugen,Freund,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,eugen.freund@europarl.europa.eu,EugenAFreund,http://www.europarl.europa.eu/meps/en/125018/_home.html,
Karoline,Graswander-Hainz,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,karoline.graswander-hainz@europarl.europa.eu,graswanderhainz,http://www.europarl.europa.eu/meps/en/133316/_home.html,
Karin,Kadenbach,Austria,-,S&D,NOT PRESENT,NOT PRESENT,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,karin.kadenbach@europarl.europa.eu,karinkadenbach,http://www.europarl.europa.eu/meps/en/97014/_home.html,
Barbara,Kappel,Austria,-,ENF,NOT PRESENT,NOT PRESENT,-,FOR,ABSTAINED,AGAINST,ABSTAINED,ABSTAINED,Freiheitliche Partei Österreichs,FPÖ,barbara.kappel@europarl.europa.eu,b_kappel,http://www.europarl.europa.eu/meps/en/125024/_home.html,
Othmar,Karas,Austria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Österreichische Volkspartei,ÖVP,othmar.karas@europarl.europa.eu,othmar_karas,http://www.europarl.europa.eu/meps/en/4246/_home.html,
Lukas,Mandl,Austria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Österreichische Volkspartei,ÖVP,lukas.mandl@ep.europa.eu,lukasmandl,http://www.europarl.europa.eu/meps/en/190713/_home.html,
Georg,Mayer,Austria,-,ENF,ABSTAINED,FOR,-,FOR,ABSTAINED,AGAINST,ABSTAINED,ABSTAINED,Freiheitliche Partei Österreichs,FPÖ,georg.mayer@europarl.europa.eu,georgmayermep,http://www.europarl.europa.eu/meps/en/38511/_home.html,
Angelika,Mlinar,Austria,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,NEOS – Das Neue Österreich,NEOS,angelika.mlinar@europarl.europa.eu,angelikamlinar,http://www.europarl.europa.eu/meps/en/125026/_home.html,
Franz,Obermayr,Austria,-,ENF,ABSTAINED,FOR,-,FOR,ABSTAINED,AGAINST,ABSTAINED,ABSTAINED,Freiheitliche Partei Österreichs,FPÖ,franz.obermayr@europarl.europa.eu,franzobermayr,http://www.europarl.europa.eu/meps/en/96981/_home.html,
Evelyn,Regner,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,evelyn.regner@europarl.europa.eu,Evelyn_Regner,http://www.europarl.europa.eu/meps/en/96998/_home.html,
Michel,Reimon,Austria,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Die Grünen - Die Grüne Alternative,Die Grünen,michel.reimon@europarl.europa.eu,michelreimon,http://www.europarl.europa.eu/meps/en/124935/_home.html,
Paul,Rübig,Austria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Österreichische Volkspartei,ÖVP,paul.ruebig@europarl.europa.eu,paulruebig,http://www.europarl.europa.eu/meps/en/2278/_home.html,
Claudia,Schmidt,Austria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Österreichische Volkspartei,ÖVP,claudia.schmidt@europarl.europa.eu,Schmidt_Clau,http://www.europarl.europa.eu/meps/en/125016/_home.html,
Monika,Vana,Austria,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Die Grünen - Die Grüne Alternative,Die Grünen,monika.vana@europarl.europa.eu,MonikaVana,http://www.europarl.europa.eu/meps/en/124934/_home.html,
Harald,Vilimsky,Austria,-,ENF,ABSTAINED,FOR,-,FOR,ABSTAINED,AGAINST,ABSTAINED,ABSTAINED,Freiheitliche Partei Österreichs,FPÖ,harald.vilimsky@europarl.europa.eu,,http://www.europarl.europa.eu/meps/en/125001/_home.html,
Thomas,Waitz,Austria,-,Greens/EFA,AGAINST,FOR,YES,FOR,FOR,AGAINST,AGAINST,AGAINST,Die Grünen - Die Grüne Alternative,Die Grünen,thomas.waitz@ep.europa.eu,,http://www.europarl.europa.eu/meps/en/190464/_home.html,
Josef,Weidenholzer,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,josef.weidenholzer@europarl.europa.eu,Weidenholzer,http://www.europarl.europa.eu/meps/en/111014/_home.html,
Gerolf,Annemans,Belgium,Nederlands Kiescollege,ENF,AGAINST,FOR - CORRECTED,YES,FOR,ABSTAINED,AGAINST,AGAINST,AGAINST,Vlaams Belang,Vlaams Belang,gerolf.annemans@europarl.europa.eu,gannemans,http://www.europarl.europa.eu/meps/en/124973/_home.html,
Maria,Arena,Belgium,Collège électoral français,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti Socialiste,PS,maria.arena@europarl.europa.eu,Mariearenaps,http://www.europarl.europa.eu/meps/en/124936/_home.html,
Pascal,Arimont,Belgium,Collège électoral germanophone,EPP,AGAINST,FOR,-,AGAINST,ABSTAINED,FOR,FOR,FOR,Christlich Soziale Partei,CSP,pascal.arimont@europarl.europa.eu,pascalarimont,http://www.europarl.europa.eu/meps/en/24922/_home.html,
Hugues,Bayet,Belgium,Collège électoral français,S&D,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti Socialiste,PS,hugues.bayet@europarl.europa.eu,huguesbayet,http://www.europarl.europa.eu/meps/en/125002/_home.html,
Ivo,Belet,Belgium,Nederlands Kiescollege,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Christen-Democratisch & Vlaams,CD&V,ivo.belet@europarl.europa.eu,ivobelet,http://www.europarl.europa.eu/meps/en/28257/_home.html,
Mark,Demesmaeker,Belgium,Nederlands Kiescollege,ECR,AGAINST,FOR,-,AGAINST,AGAINST,FOR,AGAINST,AGAINST,Nieuw-Vlaamse Alliantie,NVA,mark.demesmaeker@europarl.europa.eu,markdemesmaeker,http://www.europarl.europa.eu/meps/en/117477/_home.html,
Gérard,Deprez,Belgium,Collège électoral français,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Mouvement Réformateur,MR,gerard.deprez@europarl.europa.eu,gerardeprez,http://www.europarl.europa.eu/meps/en/1473/_home.html,
Philippe,Lamberts,Belgium,Collège électoral français,Greens/EFA,AGAINST,FOR,-,FOR,FOR,AGAINST,AGAINST,AGAINST,Ecologistes Confédérés pour l'organisation de Luttes Originales,Ecolo ,philippe.lamberts@europarl.europa.eu,ph_lamberts,http://www.europarl.europa.eu/meps/en/96648/_home.html,
Louis,Michel,Belgium,Collège électoral français,ALDE,FOR,AGAINST,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,FOR,Mouvement Réformateur,MR,louis.michel@europarl.europa.eu,LouisMichel,http://www.europarl.europa.eu/meps/en/96670/_home.html,
Ralph,Packet,Belgium,Nederlands Kiescollege,ECR,AGAINST,FOR,-,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,NOT PRESENT,Nieuw-Vlaamse Alliantie,NVA,ralph.packet@europarl.europa.eu,ralphpacket,http://www.europarl.europa.eu/meps/en/195454/_home.html,
Frédérique,Ries,Belgium,Collège électoral français,ALDE,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Mouvement Réformateur,MR,frederique.ries@europarl.europa.eu,Frederiqueries,http://www.europarl.europa.eu/meps/en/4253/_home.html,
Claude,Rolin,Belgium,Collège électoral français,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Centre Démocrate Humaniste,cdH,claude.rolin@europarl.europa.eu,clauderolin,http://www.europarl.europa.eu/meps/en/125107/_home.html,
