First Name,Last Name,Gender,Date of Birth,Age,Country,Jurisdiction,Political_Group,_26_March_2019_Final_Vote,26 March 2019 Procedural Vote,Pledge 2019,Sept 18 Vote DELETE,Sept 18 Vote IMCO,Sept 18 Vote VOSS,Sept 18 Vote REPORT,June 18 Vote Negotiations,National_Political_Group,National Political Group (Short),Email,Twitter,Wikidata code,EP Webpage,,,,,,,
Heinz K.,Becker,Male,29/06/1950,68,Austria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Österreichische Volkspartei,ÖVP,heinzk.becker@europarl.europa.eu,,Q89051,http://www.europarl.europa.eu/meps/en/107041/_home.html,,,,,,,
Eugen,Freund,Male,15/04/1951,67,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,eugen.freund@europarl.europa.eu,eugenafreund,Q1372517,http://www.europarl.europa.eu/meps/en/125018/_home.html,,,,,,,
Karoline,Graswander-Hainz,Female,02/02/1974,45,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,karoline.graswander-hainz@europarl.europa.eu,graswanderhainz,Q20656233,http://www.europarl.europa.eu/meps/en/133316/_home.html,,,,,,,
Karin,Kadenbach,Female,19/04/1958,60,Austria,-,S&D,NOT PRESENT,NOT PRESENT,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,karin.kadenbach@europarl.europa.eu,karinkadenbach,Q114290,http://www.europarl.europa.eu/meps/en/97014/_home.html,,,,,,,
Barbara,Kappel,Female,16/02/1965,54,Austria,-,ENF,NOT PRESENT,NOT PRESENT,-,FOR,ABSTAINED,AGAINST,ABSTAINED,ABSTAINED,Freiheitliche Partei Österreichs,FPÖ,barbara.kappel@europarl.europa.eu,b_kappel,Q807496,http://www.europarl.europa.eu/meps/en/125024/_home.html,,,,,,,
Othmar,Karas,Male,24/12/1957,61,Austria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Österreichische Volkspartei,ÖVP,othmar.karas@europarl.europa.eu,othmar_karas,Q85368,http://www.europarl.europa.eu/meps/en/4246/_home.html,,,,,,576,twitter handles
Lukas,Mandl,Male,12/07/1979,39,Austria,-,EPP,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Österreichische Volkspartei,ÖVP,lukas.mandl@ep.europa.eu,lukasmandl,Q1876930,http://www.europarl.europa.eu/meps/en/190713/_home.html,,,,,,,
Georg,Mayer,Male,12/10/1973,45,Austria,-,ENF,ABSTAINED,FOR,-,FOR,ABSTAINED,AGAINST,ABSTAINED,ABSTAINED,Freiheitliche Partei Österreichs,FPÖ,georg.mayer@europarl.europa.eu,georgmayermep,Q16064658,http://www.europarl.europa.eu/meps/en/38511/_home.html,,,,,,278,twitters for
Angelika,Mlinar,Female,29/06/1970,48,Austria,-,ALDE,AGAINST,FOR,-,AGAINST,FOR,AGAINST,AGAINST,NOT PRESENT,NEOS – Das Neue Österreich,NEOS,angelika.mlinar@europarl.europa.eu,angelikamlinar,Q524225,http://www.europarl.europa.eu/meps/en/125026/_home.html,,,,,,204,twitters against
Franz,Obermayr,Male,25/05/1952,66,Austria,-,ENF,ABSTAINED,FOR,-,FOR,ABSTAINED,AGAINST,ABSTAINED,ABSTAINED,Freiheitliche Partei Österreichs,FPÖ,franz.obermayr@europarl.europa.eu,franzobermayr,Q86823,http://www.europarl.europa.eu/meps/en/96981/_home.html,,,,,,482,twitters explicitely voted
Evelyn,Regner,Female,24/01/1966,53,Austria,-,S&D,AGAINST,FOR,YES,AGAINST,FOR,AGAINST,FOR,AGAINST,Sozialdemokratische Partei Österreichs,SPÖ,evelyn.regner@europarl.europa.eu,evelyn_regner,Q87549,http://www.europarl.europa.eu/meps/en/96998/_home.html,,,,,,,
