First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Angelika,Mlinar,Female,48.0,Austria,ALDE,AGAINST,NEOS – Das Neue Österreich
Gérard,Deprez,male,75.0,Belgium,ALDE,FOR,Mouvement Réformateur
Louis,Michel,female,71.0,Belgium,ALDE,FOR,Mouvement Réformateur
Frédérique,Ries,female,59.0,Belgium,ALDE,FOR,Mouvement Réformateur
Hilde,Vautmans,male,46.0,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Guy,Verhofstadt,female,65.0,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Lieve,Wierinck,male,61.0,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Nedzhmi,Ali,male,46.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Filiz,Hyusmenova,male,52.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Ilhan,Kyuchyuk,female,33.0,Bulgaria,ALDE,AGAINST,Movement for Rights and Freedoms
Iskra,Mihaylova,female,61.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Ivan,Jakovčić,male,61.0,Croatia,ALDE,FOR,Istarski demokratski sabor - Dieta democratica istriana
Jozo,Radoš,female,62.0,Croatia,ALDE,AGAINST,Građansko Liberalni Savez
Dita,Charanzová,male,43.0,Czech Republic,ALDE,ABSTAINED,ANO 2011
Martina,Dlabajová,female,42.0,Czech Republic,ALDE,ABSTAINED,ANO 2011
Petr,Ježek,male,53.0,Czech Republic,ALDE,AGAINST,ANO 2011
Pavel,Telička,female,53.0,Czech Republic,ALDE,AGAINST,ANO 2011
Morten,Løkkegaard,male,54.0,Denmark,ALDE,FOR,Venstre
Morten Helveg,Petersen,male,52.0,Denmark,ALDE,FOR,Det Radikale Venstre
Jens,Rohde,female,48.0,Denmark,ALDE,FOR,Det Radikale Venstre
Igor,Gräzin,male,66.0,Estonia,ALDE,AGAINST,Eesti Reformierakond
Urmas,Paet,male,44.0,Estonia,ALDE,ABSTAINED,Eesti Reformierakond
Yana,Toom,female,52.0,Estonia,ALDE,AGAINST,Eesti Keskerakond
Anneli,Jäätteenmäki,female,64.0,Finland,ALDE,FOR,Suomen Keskusta
Elsi,Katainen,female,52.0,Finland,ALDE,FOR,Suomen Keskusta
Nils,Torvalds,female,73.0,Finland,ALDE,AGAINST,Svenska folkpartiet
Mirja,Vehkaperä,male,42.0,Finland,ALDE,FOR,Suomen Keskusta
Jean,Arthuis,male,74.0,France,ALDE,FOR,Union des Démocrates et Indépendants
Jean-Marie,Cavada,female,79.0,France,ALDE,FOR,Generation Citoyens
Thierry,Cornillet,female,67.0,France,ALDE,FOR,Parti Radical
Nathalie,Griesbeck,male,62.0,France,ALDE,NOT PRESENT,Mouvement Démocrate
Patricia,Lalonde,female,66.0,France,ALDE,FOR,Union des Démocrates et Indépendants
Dominique,Riquet,male,72.0,France,ALDE,FOR,Parti Radical - UDI
Robert,Rochefort,male,63.0,France,ALDE,FOR,Mouvement Démocrate
Nadja,Hirsch,male,40.0,Germany,ALDE,AGAINST,Freie Demokratische Partei
Wolf,Klinz,male,77.0,Germany,ALDE,NOT PRESENT,Freie Demokratische Partei
Gesine,Meissner,male,67.0,Germany,ALDE,AGAINST,Freie Demokratische Partei
Ulrike,Müller,male,56.0,Germany,ALDE,AGAINST,Freie Wähler
Marian,Harkin,male,65.0,Ireland,ALDE,FOR,Independent
Iveta,Grigule-Pēterse,male,54.0,Latvia,ALDE,FOR,Zaļo un Zemnieku savienība
Petras,Auštrevičius,male,55.0,Lithuania,ALDE,NOT PRESENT,Lietuvos Respublikos Liberalų Sąjūdis
Valentinas,Mazuronis,male,65.0,Lithuania,ALDE,FOR,Darbo partija
Viktor,Uspaskich,female,59.0,Lithuania,ALDE,FOR,Darbo partija
Charles,Goerens,male,67.0,Luxembourg,ALDE,AGAINST,Parti démocratique
Gerben-Jan,Gerbrandy,male,51.0,Netherlands,ALDE,AGAINST,Democraten 66
Jan,Huitema,male,34.0,Netherlands,ALDE,AGAINST,Volkspartij voor Vrijheid en Democratie
Sophie,in 't Veld,male,55.0,Netherlands,ALDE,AGAINST,Democraten 66
Caroline,Nagtegaal,female,38.0,Netherlands,ALDE,AGAINST,Volkspartij voor Vrijheid en Democratie
Marietje,Schaake,male,40.0,Netherlands,ALDE,AGAINST,Democraten 66
Johannes Cornelis,van Baalen,male,58.0,Netherlands,ALDE,AGAINST - CORRECTED,Volkspartij voor Vrijheid en Democratie
Matthijs,van Miltenburg,male,46.0,Netherlands,ALDE,AGAINST,Democraten 66
António,Marinho e Pinto,male,68.0,Portugal,ALDE,FOR,Partido Democrático Republicano
Mircea,Diaconu,male,69.0,Romania,ALDE,FOR,Independent
Norica,Nicolai,male,61.0,Romania,ALDE,NOT PRESENT,ALDE Romania
Renate,Weber,male,63.0,Romania,ALDE,AGAINST,Independent
Ivo,Vajgl,male,76.0,Slovenia,ALDE,FOR,DeSUS - Demokratična Stranka Upokojencev Slovenije
Beatriz,Becerra Basterrechea,female,52.0,Spain,ALDE,AGAINST,Independiente
Izaskun,Bilbao Barandica,male,57.0,Spain,ALDE,FOR,Partido Nacionalista Vasco
Enrique,Calvet Chambon,female,68.0,Spain,ALDE,FOR,Independiente
María Teresa,Giménez Barbat,female,63.0,Spain,ALDE,FOR,0
Javier,Nart,female,71.0,Spain,ALDE,FOR,Ciudadanos-Partido de la Ciudadanía
Maite,Pagazaurtundúa Ruiz,female,54.0,Spain,ALDE,FOR,Unión
Carolina,Punset,male,48.0,Spain,ALDE,FOR,Ciudadanos-Partido de la Ciudadanía
Ramon,Tremosa I Balcells,male,53.0,Spain,ALDE,AGAINST - CORRECTED,Partit Demòcrata Europeu i Català
Fredrick,Federley,female,40.0,Sweden,ALDE,AGAINST,Centerpartiet
Jasenko,Selimovic,male,51.0,Sweden,ALDE,AGAINST,Liberalerna
Cecilia,Wikström,male,53.0,Sweden,ALDE,AGAINST,Liberalerna
Catherine,Bearder,male,70.0,United Kingdom,ALDE,AGAINST,Liberal Democrats
