First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Angelika,Mlinar,Austria,ALDE,AGAINST,NEOS – Das Neue Österreich
Gérard,Deprez,Belgium,ALDE,FOR,Mouvement Réformateur
Louis,Michel,Belgium,ALDE,FOR,Mouvement Réformateur
Frédérique,Ries,Belgium,ALDE,FOR,Mouvement Réformateur
Hilde,Vautmans,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Guy,Verhofstadt,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Lieve,Wierinck,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Nedzhmi,Ali,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Filiz,Hyusmenova,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Ilhan,Kyuchyuk,Bulgaria,ALDE,AGAINST,Movement for Rights and Freedoms
Iskra,Mihaylova,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Ivan,Jakovčić,Croatia,ALDE,FOR,Istarski demokratski sabor - Dieta democratica istriana
Jozo,Radoš,Croatia,ALDE,AGAINST,Građansko Liberalni Savez
Dita,Charanzová,Czech Republic,ALDE,ABSTAINED,ANO 2011
Martina,Dlabajová,Czech Republic,ALDE,ABSTAINED,ANO 2011
Petr,Ježek,Czech Republic,ALDE,AGAINST,ANO 2011
Pavel,Telička,Czech Republic,ALDE,AGAINST,ANO 2011
Morten,Løkkegaard,Denmark,ALDE,FOR,Venstre
Morten Helveg,Petersen,Denmark,ALDE,FOR,Det Radikale Venstre
Jens,Rohde,Denmark,ALDE,FOR,Det Radikale Venstre
Igor,Gräzin,Estonia,ALDE,AGAINST,Eesti Reformierakond
Urmas,Paet,Estonia,ALDE,ABSTAINED,Eesti Reformierakond
Yana,Toom,Estonia,ALDE,AGAINST,Eesti Keskerakond
Anneli,Jäätteenmäki,Finland,ALDE,FOR,Suomen Keskusta
Elsi,Katainen,Finland,ALDE,FOR,Suomen Keskusta
Nils,Torvalds,Finland,ALDE,AGAINST,Svenska folkpartiet
Mirja,Vehkaperä,Finland,ALDE,FOR,Suomen Keskusta
Jean,Arthuis,France,ALDE,FOR,Union des Démocrates et Indépendants
Jean-Marie,Cavada,France,ALDE,FOR,Generation Citoyens
Thierry,Cornillet,France,ALDE,FOR,Parti Radical
Nathalie,Griesbeck,France,ALDE,NOT PRESENT,Mouvement Démocrate
Patricia,Lalonde,France,ALDE,FOR,Union des Démocrates et Indépendants
Dominique,Riquet,France,ALDE,FOR,Parti Radical - UDI
Robert,Rochefort,France,ALDE,FOR,Mouvement Démocrate
Nadja,Hirsch,Germany,ALDE,AGAINST,Freie Demokratische Partei
Wolf,Klinz,Germany,ALDE,NOT PRESENT,Freie Demokratische Partei
Gesine,Meissner,Germany,ALDE,AGAINST,Freie Demokratische Partei
Ulrike,Müller,Germany,ALDE,AGAINST,Freie Wähler
Marian,Harkin,Ireland,ALDE,FOR,Independent
Iveta,Grigule-Pēterse,Latvia,ALDE,FOR,Zaļo un Zemnieku savienība
Petras,Auštrevičius,Lithuania,ALDE,NOT PRESENT,Lietuvos Respublikos Liberalų Sąjūdis
Valentinas,Mazuronis,Lithuania,ALDE,FOR,Darbo partija
Viktor,Uspaskich,Lithuania,ALDE,FOR,Darbo partija
Charles,Goerens,Luxembourg,ALDE,AGAINST,Parti démocratique
Gerben-Jan,Gerbrandy,Netherlands,ALDE,AGAINST,Democraten 66
Jan,Huitema,Netherlands,ALDE,AGAINST,Volkspartij voor Vrijheid en Democratie
Sophie,in 't Veld,Netherlands,ALDE,AGAINST,Democraten 66
Caroline,Nagtegaal,Netherlands,ALDE,AGAINST,Volkspartij voor Vrijheid en Democratie
Marietje,Schaake,Netherlands,ALDE,AGAINST,Democraten 66
Johannes Cornelis,van Baalen,Netherlands,ALDE,AGAINST - CORRECTED,Volkspartij voor Vrijheid en Democratie
Matthijs,van Miltenburg,Netherlands,ALDE,AGAINST,Democraten 66
António,Marinho e Pinto,Portugal,ALDE,FOR,Partido Democrático Republicano
Mircea,Diaconu,Romania,ALDE,FOR,Independent
Norica,Nicolai,Romania,ALDE,NOT PRESENT,ALDE Romania
Renate,Weber,Romania,ALDE,AGAINST,Independent
Ivo,Vajgl,Slovenia,ALDE,FOR,DeSUS - Demokratična Stranka Upokojencev Slovenije
Beatriz,Becerra Basterrechea,Spain,ALDE,AGAINST,Independiente
Izaskun,Bilbao Barandica,Spain,ALDE,FOR,Partido Nacionalista Vasco
Enrique,Calvet Chambon,Spain,ALDE,FOR,Independiente
María Teresa,Giménez Barbat,Spain,ALDE,FOR,0
Javier,Nart,Spain,ALDE,FOR,Ciudadanos-Partido de la Ciudadanía
Maite,Pagazaurtundúa Ruiz,Spain,ALDE,FOR,Unión
Carolina,Punset,Spain,ALDE,FOR,Ciudadanos-Partido de la Ciudadanía
Ramon,Tremosa I Balcells,Spain,ALDE,AGAINST - CORRECTED,Partit Demòcrata Europeu i Català
Fredrick,Federley,Sweden,ALDE,AGAINST,Centerpartiet
Jasenko,Selimovic,Sweden,ALDE,AGAINST,Liberalerna
Cecilia,Wikström,Sweden,ALDE,AGAINST,Liberalerna
Catherine,Bearder,United Kingdom,ALDE,AGAINST,Liberal Democrats
