First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Mark,Demesmaeker,male,60.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Ralph,Packet,male,28.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Helga,Stevens,female,50.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Anneleen,Van Bossuyt,male,39.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Nikolay,Barekov,male,46.0,Bulgaria,ECR,ABSTAINED,Reload Bulgaria Party
Angel,Dzhambazki,male,40.0,Bulgaria,ECR,AGAINST,VMRO
Ruža,Tomašić,male,60.0,Croatia,ECR,ABSTAINED,Hrvatska konzervativna stranka
Eleni,Theocharous,male,65.0,Cyprus,ECR,NOT PRESENT,Independent
Evžen,Tošenovský,female,63.0,Czech Republic,ECR,AGAINST,Občanská demokratická strana
Jan,Zahradil,female,56.0,Czech Republic,ECR,AGAINST,Občanská demokratická strana
Jørn,Dohrmann,male,50.0,Denmark,ECR,NOT PRESENT,Dansk Folkeparti
Morten,Messerschmidt,male,38.0,Denmark,ECR,FOR,Dansk Folkeparti
Anders Primdahl,Vistisen,male,31.0,Denmark,ECR,FOR,Dansk Folkeparti
Jussi,Halla-Aho,male,47.0,Finland,ECR,AGAINST,Perussuomalaiset
Pirkko,Ruohonen-Lerner,male,62.0,Finland,ECR,AGAINST,Perussuomalaiset
Arne,Gericke,male,54.0,Germany,ECR,NOT PRESENT,Freie Wähler
Hans-Olaf,Henkel,male,79.0,Germany,ECR,FOR,Liberal-Conservative Refomists
Bernd,Kölmel,male,60.0,Germany,ECR,FOR,Liberal-Conservative Refomists
Bernd,Lucke,female,56.0,Germany,ECR,AGAINST,Liberal-Conservative Refomists
Joachim,Starbatty,female,78.0,Germany,ECR,AGAINST,Liberal-Conservative Refomists
Ulrike,Trebesius,male,48.0,Germany,ECR,AGAINST,Liberal-Conservative Refomists
Notis,Marias,male,61.0,Greece,ECR,NOT PRESENT,Greece-The Alternative Road
Brian,Crowley,male,55.0,Ireland,ECR,NOT PRESENT,Fianna Fáil Party
Raffaele,Fitto,male,49.0,Italy,ECR,FOR,Conservatori e Riformisti
Innocenzo,Leontini,female,59.0,Italy,ECR,FOR,Forza Italia
Stefano,Maullu,male,57.0,Italy,ECR,FOR,Forza Italia
Remo,Sernagiotto,male,63.0,Italy,ECR,FOR,Conservatori e Riformisti
Roberts,Zīle,male,60.0,Latvia,ECR,FOR,Nacionālā apvienība Visu Latvijai! - Tēvzemei un Brīvībai/LNNK
Valdemar,Tomaševski,male,54.0,Lithuania,ECR,NOT PRESENT,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga
Bas,Belder,male,72.0,Netherlands,ECR,AGAINST,Staatkundig Gereformeerde Partij
Peter,van Dalen,female,60.0,Netherlands,ECR,AGAINST,ChristenUnie
