First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Mark,Demesmaeker,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Ralph,Packet,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Helga,Stevens,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Anneleen,Van Bossuyt,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Nikolay,Barekov,Bulgaria,ECR,ABSTAINED,Reload Bulgaria Party
Angel,Dzhambazki,Bulgaria,ECR,AGAINST,VMRO
Ruža,Tomašić,Croatia,ECR,ABSTAINED,Hrvatska konzervativna stranka
Eleni,Theocharous,Cyprus,ECR,NOT PRESENT,Independent
Evžen,Tošenovský,Czech Republic,ECR,AGAINST,Občanská demokratická strana
Jan,Zahradil,Czech Republic,ECR,AGAINST,Občanská demokratická strana
Jørn,Dohrmann,Denmark,ECR,NOT PRESENT,Dansk Folkeparti
Morten,Messerschmidt,Denmark,ECR,FOR,Dansk Folkeparti
Anders Primdahl,Vistisen,Denmark,ECR,FOR,Dansk Folkeparti
Jussi,Halla-Aho,Finland,ECR,AGAINST,Perussuomalaiset
Pirkko,Ruohonen-Lerner,Finland,ECR,AGAINST,Perussuomalaiset
Arne,Gericke,Germany,ECR,NOT PRESENT,Freie Wähler
Hans-Olaf,Henkel,Germany,ECR,FOR,Liberal-Conservative Refomists
Bernd,Kölmel,Germany,ECR,FOR,Liberal-Conservative Refomists
Bernd,Lucke,Germany,ECR,AGAINST,Liberal-Conservative Refomists
Joachim,Starbatty,Germany,ECR,AGAINST,Liberal-Conservative Refomists
Ulrike,Trebesius,Germany,ECR,AGAINST,Liberal-Conservative Refomists
Notis,Marias,Greece,ECR,NOT PRESENT,Greece-The Alternative Road
Brian,Crowley,Ireland,ECR,NOT PRESENT,Fianna Fáil Party
Raffaele,Fitto,Italy,ECR,FOR,Conservatori e Riformisti
Innocenzo,Leontini,Italy,ECR,FOR,Forza Italia
Stefano,Maullu,Italy,ECR,FOR,Forza Italia
Remo,Sernagiotto,Italy,ECR,FOR,Conservatori e Riformisti
Roberts,Zīle,Latvia,ECR,FOR,Nacionālā apvienība Visu Latvijai! - Tēvzemei un Brīvībai/LNNK
Valdemar,Tomaševski,Lithuania,ECR,NOT PRESENT,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga
Bas,Belder,Netherlands,ECR,AGAINST,Staatkundig Gereformeerde Partij
Peter,van Dalen,Netherlands,ECR,AGAINST,ChristenUnie
Ryszard,Czarnecki,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Edward,Czesak,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Anna Elżbieta,Fotyga,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Beata,Gosiewska,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Czesław,Hoc,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Marek,Jurek,Poland,ECR,AGAINST,Prawica Rzeczypospolitej
Karol,Karski,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Sławomir,Kłosowski,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Zdzisław,Krasnodębski,Poland,ECR,AGAINST,Independent
Urszula,Krupa,Poland,ECR,AGAINST,Independent
Zbigniew,Kuźmiuk,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Ryszard Antoni,Legutko,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Stanisław,Ożóg,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
