First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Jiří,Payne,female,62.0,Czech Republic,EFDD,AGAINST,Strana svobodných občanů
Joëlle,Bergeron,female,69.0,France,EFDD,FOR,Sans étiquette
Aymeric,Chauprade,male,50.0,France,EFDD,FOR,Les Français Libres
Mireille,D'Ornano,male,67.0,France,EFDD,FOR,Rassemblement national
Sylvie,Goddyn,female,54.0,France,EFDD,FOR,Rassemblement national
Bernard,Monot,male,56.0,France,EFDD,FOR,Rassemblement national
Florian,Philippot,male,37.0,France,EFDD,NOT PRESENT,Rassemblement national
Jörg,Meuthen,male,57.0,Germany,EFDD,AGAINST,Alternative für Deutschland
Isabella,Adinolfi,female,40.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Laura,Agea,male,41.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Daniela,Aiuto,male,41.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Tiziana,Beghin,male,48.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Fabio Massimo,Castaldo,male,33.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Ignazio,Corrao,female,35.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Rosa,d'Amato,female,49.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Eleonora,Evi,female,35.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Laura,Ferrara,male,35.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Giulia,Moi,female,47.0,Italy,EFDD,ABSTAINED,Movimento 5 Stelle
Piernicola,Pedicini,female,49.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Dario,Tamburrano,male,49.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Marco,Valli,male,33.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Marco,Zullo,male,40.0,Italy,EFDD,AGAINST,Movimento 5 Stelle
Rolandas,Paksas,male,62.0,Lithuania,EFDD,FOR,Partija Tvarka ir teisingumas
Robert Jarosław,Iwaszkiewicz,male,56.0,Poland,EFDD,AGAINST,KORWiN
William,(The Earl Of) Dartmouth,female,69.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Tim,Aker,female,33.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Jonathan,Arnott,male,38.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Louise,Bours,female,50.0,United Kingdom,EFDD,NOT PRESENT,United Kingdom Independence Party
Jonathan,Bullock,male,56.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
James,Carver,female,49.0,United Kingdom,EFDD,AGAINST,Independent
David,Coburn,female,60.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Jane,Collins,female,57.0,United Kingdom,EFDD,NOT PRESENT,United Kingdom Independence Party
Bill,Etheridge,male,49.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Nigel,Farage,female,54.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Raymond,Finch,male,55.0,United Kingdom,EFDD,NOT PRESENT,United Kingdom Independence Party
Nathan,Gill,male,45.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Paul,Nuttall,male,42.0,United Kingdom,EFDD,NOT PRESENT,United Kingdom Independence Party
Patrick,O'Flynn,male,53.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Margot,Parker,male,75.0,United Kingdom,EFDD,NOT PRESENT,United Kingdom Independence Party
Julia,Reid,male,66.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Jill,Seymour,female,60.0,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
