First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Jiří,Payne,Czech Republic,EFDD,AGAINST,Strana svobodných občanů
Joëlle,Bergeron,France,EFDD,FOR,Sans étiquette
Aymeric,Chauprade,France,EFDD,FOR,Les Français Libres
Mireille,D'Ornano,France,EFDD,FOR,Rassemblement national
Sylvie,Goddyn,France,EFDD,FOR,Rassemblement national
Bernard,Monot,France,EFDD,FOR,Rassemblement national
Florian,Philippot,France,EFDD,NOT PRESENT,Rassemblement national
Jörg,Meuthen,Germany,EFDD,AGAINST,Alternative für Deutschland
Isabella,Adinolfi,Italy,EFDD,AGAINST,Movimento 5 Stelle
Laura,Agea,Italy,EFDD,AGAINST,Movimento 5 Stelle
Daniela,Aiuto,Italy,EFDD,AGAINST,Movimento 5 Stelle
Tiziana,Beghin,Italy,EFDD,AGAINST,Movimento 5 Stelle
Fabio Massimo,Castaldo,Italy,EFDD,AGAINST,Movimento 5 Stelle
Ignazio,Corrao,Italy,EFDD,AGAINST,Movimento 5 Stelle
Rosa,d'Amato,Italy,EFDD,AGAINST,Movimento 5 Stelle
Eleonora,Evi,Italy,EFDD,AGAINST,Movimento 5 Stelle
Laura,Ferrara,Italy,EFDD,AGAINST,Movimento 5 Stelle
Giulia,Moi,Italy,EFDD,ABSTAINED,Movimento 5 Stelle
Piernicola,Pedicini,Italy,EFDD,AGAINST,Movimento 5 Stelle
Dario,Tamburrano,Italy,EFDD,AGAINST,Movimento 5 Stelle
Marco,Valli,Italy,EFDD,AGAINST,Movimento 5 Stelle
Marco,Zullo,Italy,EFDD,AGAINST,Movimento 5 Stelle
Rolandas,Paksas,Lithuania,EFDD,FOR,Partija Tvarka ir teisingumas
Robert Jarosław,Iwaszkiewicz,Poland,EFDD,AGAINST,KORWiN
William,(The Earl Of) Dartmouth,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Tim,Aker,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Jonathan,Arnott,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Louise,Bours,United Kingdom,EFDD,NOT PRESENT,United Kingdom Independence Party
Jonathan,Bullock,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
James,Carver,United Kingdom,EFDD,AGAINST,Independent
David,Coburn,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Jane,Collins,United Kingdom,EFDD,NOT PRESENT,United Kingdom Independence Party
Bill,Etheridge,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Nigel,Farage,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Raymond,Finch,United Kingdom,EFDD,NOT PRESENT,United Kingdom Independence Party
Nathan,Gill,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Paul,Nuttall,United Kingdom,EFDD,NOT PRESENT,United Kingdom Independence Party
Patrick,O'Flynn,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Margot,Parker,United Kingdom,EFDD,NOT PRESENT,United Kingdom Independence Party
Julia,Reid,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
Jill,Seymour,United Kingdom,EFDD,AGAINST,United Kingdom Independence Party
