First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Barbara,Kappel,Female,54.0,Austria,ENF,NOT PRESENT,Freiheitliche Partei Österreichs
Georg,Mayer,Male,45.0,Austria,ENF,ABSTAINED,Freiheitliche Partei Österreichs
Franz,Obermayr,Male,66.0,Austria,ENF,ABSTAINED,Freiheitliche Partei Österreichs
Harald,Vilimsky,Male,52.0,Austria,ENF,ABSTAINED,Freiheitliche Partei Österreichs
Gerolf,Annemans,male,60.0,Belgium,ENF,AGAINST,Vlaams Belang
Marie-Christine,Arnautu,male,66.0,France,ENF,FOR,Rassemblement national
Nicolas,Bay,male,41.0,France,ENF,FOR,Rassemblement national
Dominique,Bilde,female,65.0,France,ENF,FOR,Rassemblement national
Marie-Christine,Boutonnet,female,70.0,France,ENF,FOR,Rassemblement national
Steeve,Briois,female,46.0,France,ENF,FOR,Rassemblement national
Jacques,Colombier,male,67.0,France,ENF,FOR,Rassemblement national
Jean-François,Jalkh,male,61.0,France,ENF,FOR,Rassemblement national
France,Jamet,male,58.0,France,ENF,FOR,Rassemblement national
Gilles,Lebreton,female,60.0,France,ENF,FOR,Rassemblement national/ Rassemblement Bleu Marine
Christelle,Lechevalier,female,50.0,France,ENF,FOR,Rassemblement national
Philippe,Loiseau,male,61.0,France,ENF,FOR,Rassemblement national
Dominique,Martin,female,57.0,France,ENF,FOR,Rassemblement national
Joëlle,Mélin,male,69.0,France,ENF,FOR,Rassemblement national
Jean-Luc,Schaffhauser,male,63.0,France,ENF,FOR,Rassemblement bleu Marine
Mylène,Troszczynski,female,46.0,France,ENF,FOR,Rassemblement national
Marcus,Pretzell,male,45.0,Germany,ENF,AGAINST,Alternative for Deutschland
Mara,Bizzotto,female,46.0,Italy,ENF,AGAINST,Lega Nord
Mario,Borghezio,female,71.0,Italy,ENF,AGAINST,Lega Nord
Angelo,Ciocca,female,43.0,Italy,ENF,AGAINST,Lega Nord
Danilo Oscar,Lancini,male,53.0,Italy,ENF,NOT PRESENT,Lega Nord
Giancarlo,Scottà,male,65.0,Italy,ENF,AGAINST,Lega Nord
Marco,Zanni,female,32.0,Italy,ENF,AGAINST,Independent
Marcel,de Graaff,male,56.0,Netherlands,ENF,NOT PRESENT,Partij voor de Vrijheid
André,Elissen,male,59.0,Netherlands,ENF,AGAINST,Partij voor de Vrijheid
Olaf,Stuger,male,49.0,Netherlands,ENF,AGAINST,Partij voor de Vrijheid
Auke,Zijlstra,female,54.0,Netherlands,ENF,AGAINST,Partij voor de Vrijheid
Michał,Marusik,male,67.0,Poland,ENF,AGAINST,Kongres Nowej Prawicy
Stanisław,Żółtek,male,62.0,Poland,ENF,AGAINST,Kongres Nowej Prawicy
John Stuart,Agnew,male,69.0,United Kingdom,ENF,AGAINST,United Kingdom Independence Party
Janice,Atkinson,female,56.0,United Kingdom,ENF,NOT PRESENT,Independent
Gerard,Batten,male,64.0,United Kingdom,ENF,AGAINST,United Kingdom Independence Party
