First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Barbara,Kappel,Austria,ENF,NOT PRESENT,Freiheitliche Partei Österreichs
Georg,Mayer,Austria,ENF,ABSTAINED,Freiheitliche Partei Österreichs
Franz,Obermayr,Austria,ENF,ABSTAINED,Freiheitliche Partei Österreichs
Harald,Vilimsky,Austria,ENF,ABSTAINED,Freiheitliche Partei Österreichs
Gerolf,Annemans,Belgium,ENF,AGAINST,Vlaams Belang
Marie-Christine,Arnautu,France,ENF,FOR,Rassemblement national
Nicolas,Bay,France,ENF,FOR,Rassemblement national
Dominique,Bilde,France,ENF,FOR,Rassemblement national
Marie-Christine,Boutonnet,France,ENF,FOR,Rassemblement national
Steeve,Briois,France,ENF,FOR,Rassemblement national
Jacques,Colombier,France,ENF,FOR,Rassemblement national
Jean-François,Jalkh,France,ENF,FOR,Rassemblement national
France,Jamet,France,ENF,FOR,Rassemblement national
Gilles,Lebreton,France,ENF,FOR,Rassemblement national/ Rassemblement Bleu Marine
Christelle,Lechevalier,France,ENF,FOR,Rassemblement national
Philippe,Loiseau,France,ENF,FOR,Rassemblement national
Dominique,Martin,France,ENF,FOR,Rassemblement national
Joëlle,Mélin,France,ENF,FOR,Rassemblement national
Jean-Luc,Schaffhauser,France,ENF,FOR,Rassemblement bleu Marine
Mylène,Troszczynski,France,ENF,FOR,Rassemblement national
Marcus,Pretzell,Germany,ENF,AGAINST,Alternative for Deutschland
Mara,Bizzotto,Italy,ENF,AGAINST,Lega Nord
Mario,Borghezio,Italy,ENF,AGAINST,Lega Nord
Angelo,Ciocca,Italy,ENF,AGAINST,Lega Nord
Danilo Oscar,Lancini,Italy,ENF,NOT PRESENT,Lega Nord
Giancarlo,Scottà,Italy,ENF,AGAINST,Lega Nord
Marco,Zanni,Italy,ENF,AGAINST,Independent
Marcel,de Graaff,Netherlands,ENF,NOT PRESENT,Partij voor de Vrijheid
André,Elissen,Netherlands,ENF,AGAINST,Partij voor de Vrijheid
Olaf,Stuger,Netherlands,ENF,AGAINST,Partij voor de Vrijheid
Auke,Zijlstra,Netherlands,ENF,AGAINST,Partij voor de Vrijheid
Michał,Marusik,Poland,ENF,AGAINST,Kongres Nowej Prawicy
Stanisław,Żółtek,Poland,ENF,AGAINST,Kongres Nowej Prawicy
John Stuart,Agnew,United Kingdom,ENF,AGAINST,United Kingdom Independence Party
Janice,Atkinson,United Kingdom,ENF,NOT PRESENT,Independent
Gerard,Batten,United Kingdom,ENF,AGAINST,United Kingdom Independence Party
