First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Heinz K.,Becker,Austria,EPP,FOR,Österreichische Volkspartei
Othmar,Karas,Austria,EPP,FOR,Österreichische Volkspartei
Lukas,Mandl,Austria,EPP,FOR,Österreichische Volkspartei
Paul,Rübig,Austria,EPP,FOR,Österreichische Volkspartei
Claudia,Schmidt,Austria,EPP,FOR,Österreichische Volkspartei
Pascal,Arimont,Belgium,EPP,AGAINST,Christlich Soziale Partei
Ivo,Belet,Belgium,EPP,FOR,Christen-Democratisch & Vlaams
Claude,Rolin,Belgium,EPP,FOR,Centre Démocrate Humaniste
Tom,Vandenkendelaere,Belgium,EPP,FOR,Christen-Democratisch & Vlaams
Asim,Ademov,Bulgaria,EPP,FOR,Citizens for European Development of Bulgaria
Andrey,Kovatchev,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Svetoslav Hristov,Malinov,Bulgaria,EPP,AGAINST - CORRECTED,Democrats for Strong Bulgaria
Eva,Maydell,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Andrey,Novakov,Bulgaria,EPP,FOR - CORRECTED,Citizens for European Development of Bulgaria
Emil,Radev,Bulgaria,EPP,FOR,Citizens for European Development of Bulgaria
Vladimir,Urutchev,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Ivana,Maletić,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Marijana,Petir,Croatia,EPP,FOR,Independent
Dubravka,Šuica,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Ivica,Tolić,Croatia,EPP,NOT PRESENT,Hrvatska demokratska zajednica
Željana,Zovko,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Lefteris,Christoforou,Cyprus,EPP,NOT PRESENT,Democratic Rally
Luděk,Niedermayer,Czech Republic,EPP,ABSTAINED,TOP 09 a Starostové
Stanislav,Polčák,Czech Republic,EPP,ABSTAINED,Starostové a nezávisli
Jiří,Pospíšil,Czech Republic,EPP,AGAINST,TOP 09 a Starostové
Michaela,Šojdrová,Czech Republic,EPP,FOR,Křesťanská a demokratická unie - Československá strana lidová
Jaromír,Štětina,Czech Republic,EPP,NOT PRESENT,TOP 09 a Starostové
Pavel,Svoboda,Czech Republic,EPP,FOR,Křesťanská a demokratická unie - Československá strana lidová
Tomáš,Zdechovský,Czech Republic,EPP,AGAINST,Křesťanská a demokratická unie - Československá strana lidová
Bendt,Bendtsen,Denmark,EPP,FOR,Det Konservative Folkeparti
Tunne,Kelam,Estonia,EPP,FOR,Erakond Isamaa ja Res Publica Liit
Sirpa,Pietikäinen,Finland,EPP,FOR - CORRECTED,Kansallinen Kokoomus
Petri,Sarvamaa,Finland,EPP,FOR,Kansallinen Kokoomus
Henna,Virkkunen,Finland,EPP,FOR,Kansallinen Kokoomus
Michèle,Alliot-Marie,France,EPP,FOR,Les Républicains
Alain,Cadec,France,EPP,FOR,Les Républicains
Arnaud,Danjean,France,EPP,FOR,Les Républicains
Michel,Dantin,France,EPP,FOR,Les Républicains
Rachida,Dati,France,EPP,FOR,Les Républicains
Angélique,Delahaye,France,EPP,FOR,Les Républicains
Geoffroy,Didier,France,EPP,FOR,Les Républicains
Françoise,Grossetête,France,EPP,FOR,Les Républicains
Brice,Hortefeux,France,EPP,FOR,Les Républicains
Marc,Joulaud,France,EPP,FOR,Les Républicains
Philippe,Juvin,France,EPP,FOR,Les Républicains
Alain,Lamassoure,France,EPP,FOR,Les Républicains
Jérôme,Lavrilleux,France,EPP,FOR,Sans étiquette
Nadine,Morano,France,EPP,FOR,Les Républicains
Elisabeth,Morin-Chartier,France,EPP,FOR,Les Républicains
Renaud,Muselier,France,EPP,FOR,Les Républicains
Maurice,Ponga,France,EPP,NOT PRESENT,Les Républicains
Franck,Proust,France,EPP,FOR,Les Républicains
Tokia,Saïfi,France,EPP,FOR,Les Républicains
Anne,Sander,France,EPP,FOR,Les Républicains
Reimer,Böge,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Elmar,Brok,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Daniel,Caspary,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Birgit,Collin-Langen,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Albert,Dess,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
