First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Reimer,Böge,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Elmar,Brok,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Daniel,Caspary,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Birgit,Collin-Langen,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Albert,Dess,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Christian,Ehler,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Markus,Ferber,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Karl-Heinz,Florenz,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Michael,Gahler,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Stefan,Gehrold,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Jens,Gieseke,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Ingeborg,Grässle,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Monika,Hohlmeier,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Peter,Jahr,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Dieter-Lebrecht,Koch,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Werner,Kuhn,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Werner,Langen,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Peter,Liese,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Norbert,Lins,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Thomas,Mann,Germany,EPP,AGAINST - CORRECTED,Christlich Demokratische Union Deutschlands
David,McAllister,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Angelika,Niebler,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Markus,Pieper,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Godelieve,Quisthoudt-Rowohl,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Dennis,Radtke,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Sven,Schulze,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Andreas,Schwab,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Renate,Sommer,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Sabine,Verheyen,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Axel,Voss,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Manfred,Weber,Germany,EPP,FOR,Christlich-Soziale Union in Bayern e.V.
Rainer,Wieland,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
Hermann,Winkler,Germany,EPP,AGAINST,Christlich Demokratische Union Deutschlands
Joachim,Zeller,Germany,EPP,FOR,Christlich Demokratische Union Deutschlands
