First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Takis,Hadjigeorgiou,Cyprus,GUE-NGL,AGAINST,Progressive Party of Working People - Left - New Forces
Neoklis,Sylikiotis,Cyprus,GUE-NGL,NOT PRESENT,Progressive Party of Working People - Left - New Forces
Jaromír,Kohlíček,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Kateřina,Konečná,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Jiří,Maštálka,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Rina Ronja,Kari,Denmark,GUE-NGL,AGAINST,Folkebevægelsen mod EU
Merja,Kyllönen,Finland,GUE-NGL,FOR,Vasemmistoliitto
Patrick,Le Hyaric,France,GUE-NGL,FOR,Front de Gauche
Emmanuel,Maurel,France,GUE-NGL,FOR,Parti socialiste
Younous,Omarjee,France,GUE-NGL,AGAINST,L'union pour les Outremer
Marie-Christine,Vergiat,France,GUE-NGL,AGAINST,Front de Gauche
Marie-Pierre,Vieu,France,GUE-NGL,FOR,Front de Gauche
Stefan,Eck,Germany,GUE-NGL,AGAINST,Independent
Cornelia,Ernst,Germany,GUE-NGL,AGAINST,DIE LINKE.
Thomas,Händel,Germany,GUE-NGL,AGAINST,DIE LINKE.
Sabine,Lösing,Germany,GUE-NGL,AGAINST,DIE LINKE.
Martina,Michels,Germany,GUE-NGL,AGAINST,DIE LINKE.
Martin,Schirdewan,Germany,GUE-NGL,AGAINST,DIE LINKE.
Helmut,Scholz,Germany,GUE-NGL,AGAINST,DIE LINKE.
Gabriele,Zimmer,Germany,GUE-NGL,AGAINST,DIE LINKE.
Nikolaos,Chountis,Greece,GUE-NGL,AGAINST,Popular Unity
Kostas,Chrysogonos,Greece,GUE-NGL,FOR,Coalition of the Radical Left
Stelios,Kouloglou,Greece,GUE-NGL,NOT PRESENT,Coalition of the Radical Left
Kostadinka,Kuneva,Greece,GUE-NGL,NOT PRESENT,Coalition of the Radical Left
Dimitrios,Papadimoulis,Greece,GUE-NGL,NOT PRESENT,Coalition of the Radical Left
Sofia,Sakorafa,Greece,GUE-NGL,AGAINST,Independent
Lynn,Boylan,Ireland,GUE-NGL,AGAINST,Sinn Féin
Matt,Carthy,Ireland,GUE-NGL,AGAINST,Sinn Féin
Luke Ming,Flanagan,Ireland,GUE-NGL,AGAINST,Independent
Liadh,Ní Riada,Ireland,GUE-NGL,NOT PRESENT,Sinn Féin
Eleonora,Forenza,Italy,GUE-NGL,AGAINST,Lista Tsipras-L'Altra Europa
Curzio,Maltese,Italy,GUE-NGL,NOT PRESENT,Lista Tsipras-L'Altra Europa
Barbara,Spinelli,Italy,GUE-NGL,AGAINST,Independent
Dennis,de Jong,Netherlands,GUE-NGL,ABSTAINED,Socialistische Partij
Anja,Hazekamp,Netherlands,GUE-NGL,AGAINST,Partij voor de Dieren
Anne-Marie,Mineur,Netherlands,GUE-NGL,ABSTAINED,Socialistische Partij
João,Ferreira,Portugal,GUE-NGL,AGAINST,Partido Comunista Português
Marisa,Matias,Portugal,GUE-NGL,AGAINST,Bloco de Esquerda
João,Pimenta Lopes,Portugal,GUE-NGL,AGAINST,Partido Comunista Português
Miguel,Viegas,Portugal,GUE-NGL,AGAINST,Partido Comunista Português
Marina,Albiol Guzmán,Spain,GUE-NGL,AGAINST,Izquierda Unida
Xabier,Benito Ziluaga,Spain,GUE-NGL,AGAINST,PODEMOS
Javier,Couso Permuy,Spain,GUE-NGL,AGAINST,Izquierda Unida
Tania,González Peñas,Spain,GUE-NGL,AGAINST,PODEMOS
Paloma,López Bermejo,Spain,GUE-NGL,ABSTAINED,Izquierda Unida
Lola,Sánchez Caldentey,Spain,GUE-NGL,AGAINST,PODEMOS
Maria Lidia,Senra Rodríguez,Spain,GUE-NGL,AGAINST,Alternativa galega de esquerda en Europa
Estefanía,Torres Martínez,Spain,GUE-NGL,NOT PRESENT,PODEMOS
Miguel,Urbán Crespo,Spain,GUE-NGL,AGAINST,PODEMOS
Ángela,Vallina,Spain,GUE-NGL,NOT PRESENT,Izquierda Unida
Malin,Björk,Sweden,GUE-NGL,AGAINST,Vänsterpartiet
Martina,Anderson,United Kingdom,GUE-NGL,AGAINST,Sinn Fein
