First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Karima,Delli,male,40,France,Greens-EFA,ABSTAINED,Europe écologie
Yannick,Jadot,male,51,France,Greens-EFA,ABSTAINED,Europe écologie
Eva,Joly,male,75,France,Greens-EFA,ABSTAINED,Europe écologie
Michèle,Rivasi,male,66,France,Greens-EFA,ABSTAINED,Europe écologie
Michel,Reimon,Male,47,Austria,Greens-EFA,AGAINST,Die Grünen - Die Grüne Alternative
Monika,Vana,Female,49,Austria,Greens-EFA,AGAINST,Die Grünen - Die Grüne Alternative
Thomas,Waitz,Male,45,Austria,Greens-EFA,AGAINST,Die Grünen - Die Grüne Alternative
Philippe,Lamberts,male,56,Belgium,Greens-EFA,AGAINST,Ecologistes Confédérés pour l'organisation de Luttes Originales
Davor,Škrlec,male,56,Croatia,Greens-EFA,AGAINST,Independent
Margrete,Auken,male,74,Denmark,Greens-EFA,AGAINST,Socialistisk Folkeparti
Indrek,Tarand,male,55,Estonia,Greens-EFA,AGAINST,Sõltumatu
Heidi,Hautala,male,63,Finland,Greens-EFA,AGAINST,Vihreä liitto
Klaus,Buchner,male,78,Germany,Greens-EFA,AGAINST,Ökologisch-Demokratische Partei
Reinhard,Bütikofer,male,66,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Romeo,Franz,female,52,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Sven,Giegold,male,49,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Martin,Häusling,male,58,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Ska,Keller,female,37,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Barbara,Lochbihler,female,59,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Julia,Reda,female,32,Germany,Greens-EFA,AGAINST,Piratenpartei Deutschland
Terry,Reintke,female,31,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Tamás,Meszerics,female,54,Hungary,Greens-EFA,AGAINST,Lehet Más A Politika
Marco,Affronte,male,53,Italy,Greens-EFA,AGAINST,Independent
Miroslavs,Mitrofanovs,female,52,Latvia,Greens-EFA,AGAINST,Latvijas Krievu savienība
Bronis,Ropė,male,63,Lithuania,Greens-EFA,AGAINST,Lietuvos valstiečių ir žaliųjų sąjunga
Tilly,Metz,female,51,Luxembourg,Greens-EFA,AGAINST,Déi Gréng - Les Verts
Bas,Eickhout,male,42,Netherlands,Greens-EFA,AGAINST,GroenLinks
Judith,Sargentini,female,45,Netherlands,Greens-EFA,AGAINST,GroenLinks
Igor,Šoltes,male,54,Slovenia,Greens-EFA,AGAINST,Lista dr. Igorja Šoltesa
Florent,Marcellesi,male,40,Spain,Greens-EFA,AGAINST,EQUO
Jordi,Solé,male,42,Spain,Greens-EFA,AGAINST,Esquerra Republicana de Catalunya
Josep-Maria,Terricabras,female,72,Spain,Greens-EFA,AGAINST,Esquerra Republicana de Catalunya
Ernest,Urtasun,female,37,Spain,Greens-EFA,AGAINST,Iniciativa per Catalunya Verds
Max,Andersson,male,45,Sweden,Greens-EFA,AGAINST,Miljöpartiet de gröna
Jakop,Dalunde,female,35,Sweden,Greens-EFA,AGAINST,Miljöpartiet de gröna
Linnéa,Engström,female,37,Sweden,Greens-EFA,AGAINST,Miljöpartiet de gröna
Bodil,Valero,female,60,Sweden,Greens-EFA,AGAINST,Miljöpartiet de gröna
Jill,Evans,male,59,United Kingdom,Greens-EFA,AGAINST,Plaid Cymru - Party of Wales
Ian,Hudghton,male,67,United Kingdom,Greens-EFA,AGAINST,Scottish National Party
Jean,Lambert,male,68,United Kingdom,Greens-EFA,AGAINST,Green Party
Molly,Scott Cato,female,55,United Kingdom,Greens-EFA,AGAINST,Green Party
Alyn,Smith,male,45,United Kingdom,Greens-EFA,AGAINST,Scottish National Party
Keith,Taylor,female,65,United Kingdom,Greens-EFA,AGAINST,Green Party
Bart,Staes,male,60,Belgium,Greens-EFA,FOR,Groen
José,Bové,female,65,France,Greens-EFA,FOR,Europe écologie
Maria,Heubuch,female,60,Germany,Greens-EFA,FOR,Bündnis 90/Die Grünen
Helga,Trüpel,male,60,Germany,Greens-EFA,FOR,Bündnis 90/Die Grünen
Pascal,Durand,female,58,France,Greens-EFA,NOT PRESENT,Europe écologie
Michael,Cramer,male,69,Germany,Greens-EFA,NOT PRESENT,Bündnis 90/Die Grünen
Rebecca,Harms,male,62,Germany,Greens-EFA,NOT PRESENT,Bündnis 90/Die Grünen
Benedek,Jávor,male,46,Hungary,Greens-EFA,NOT PRESENT,Együtt 2014 - Párbeszéd Magyarországért
Ana,Miranda,female,47,Spain,Greens-EFA,NOT PRESENT,Bloque Nacionalista Galego
