First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Michel,Reimon,Austria,Greens-EFA,AGAINST,Die Grünen - Die Grüne Alternative
Monika,Vana,Austria,Greens-EFA,AGAINST,Die Grünen - Die Grüne Alternative
Thomas,Waitz,Austria,Greens-EFA,AGAINST,Die Grünen - Die Grüne Alternative
Philippe,Lamberts,Belgium,Greens-EFA,AGAINST,Ecologistes Confédérés pour l'organisation de Luttes Originales
Bart,Staes,Belgium,Greens-EFA,FOR,Groen
Davor,Škrlec,Croatia,Greens-EFA,AGAINST,Independent
Margrete,Auken,Denmark,Greens-EFA,AGAINST,Socialistisk Folkeparti
Indrek,Tarand,Estonia,Greens-EFA,AGAINST,Sõltumatu
Heidi,Hautala,Finland,Greens-EFA,AGAINST,Vihreä liitto
José,Bové,France,Greens-EFA,FOR,Europe écologie
Karima,Delli,France,Greens-EFA,ABSTAINED,Europe écologie
Pascal,Durand,France,Greens-EFA,NOT PRESENT,Europe écologie
Yannick,Jadot,France,Greens-EFA,ABSTAINED,Europe écologie
Eva,Joly,France,Greens-EFA,ABSTAINED,Europe écologie
Michèle,Rivasi,France,Greens-EFA,ABSTAINED,Europe écologie
Klaus,Buchner,Germany,Greens-EFA,AGAINST,Ökologisch-Demokratische Partei
Reinhard,Bütikofer,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Michael,Cramer,Germany,Greens-EFA,NOT PRESENT,Bündnis 90/Die Grünen
Romeo,Franz,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Sven,Giegold,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Rebecca,Harms,Germany,Greens-EFA,NOT PRESENT,Bündnis 90/Die Grünen
Martin,Häusling,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Maria,Heubuch,Germany,Greens-EFA,FOR,Bündnis 90/Die Grünen
Ska,Keller,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Barbara,Lochbihler,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Julia,Reda,Germany,Greens-EFA,AGAINST,Piratenpartei Deutschland
Terry,Reintke,Germany,Greens-EFA,AGAINST,Bündnis 90/Die Grünen
Helga,Trüpel,Germany,Greens-EFA,FOR,Bündnis 90/Die Grünen
Benedek,Jávor,Hungary,Greens-EFA,NOT PRESENT,Együtt 2014 - Párbeszéd Magyarországért
Tamás,Meszerics,Hungary,Greens-EFA,AGAINST,Lehet Más A Politika
Marco,Affronte,Italy,Greens-EFA,AGAINST,Independent
Miroslavs,Mitrofanovs,Latvia,Greens-EFA,AGAINST,Latvijas Krievu savienība
Bronis,Ropė,Lithuania,Greens-EFA,AGAINST,Lietuvos valstiečių ir žaliųjų sąjunga
Tilly,Metz,Luxembourg,Greens-EFA,AGAINST,Déi Gréng - Les Verts
Bas,Eickhout,Netherlands,Greens-EFA,AGAINST,GroenLinks
Judith,Sargentini,Netherlands,Greens-EFA,AGAINST,GroenLinks
Igor,Šoltes,Slovenia,Greens-EFA,AGAINST,Lista dr. Igorja Šoltesa
Florent,Marcellesi,Spain,Greens-EFA,AGAINST,EQUO
Ana,Miranda,Spain,Greens-EFA,NOT PRESENT,Bloque Nacionalista Galego
Jordi,Solé,Spain,Greens-EFA,AGAINST,Esquerra Republicana de Catalunya
Josep-Maria,Terricabras,Spain,Greens-EFA,AGAINST,Esquerra Republicana de Catalunya
Ernest,Urtasun,Spain,Greens-EFA,AGAINST,Iniciativa per Catalunya Verds
Max,Andersson,Sweden,Greens-EFA,AGAINST,Miljöpartiet de gröna
Jakop,Dalunde,Sweden,Greens-EFA,AGAINST,Miljöpartiet de gröna
Linnéa,Engström,Sweden,Greens-EFA,AGAINST,Miljöpartiet de gröna
Bodil,Valero,Sweden,Greens-EFA,AGAINST,Miljöpartiet de gröna
Jill,Evans,United Kingdom,Greens-EFA,AGAINST,Plaid Cymru - Party of Wales
Ian,Hudghton,United Kingdom,Greens-EFA,AGAINST,Scottish National Party
Jean,Lambert,United Kingdom,Greens-EFA,AGAINST,Green Party
Molly,Scott Cato,United Kingdom,Greens-EFA,AGAINST,Green Party
Alyn,Smith,United Kingdom,Greens-EFA,AGAINST,Scottish National Party
Keith,Taylor,United Kingdom,Greens-EFA,AGAINST,Green Party
