First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Rikke-Louise,Karlsson,Denmark,Non-attached,FOR,Independent
Bruno,Gollnisch,France,Non-attached,FOR,Rassemblement national
Jean-Marie,Le Pen,France,Non-attached,NOT PRESENT,Rassemblement national
Sophie,Montel,France,Non-attached,FOR,Rassemblement national
Martin,Sonneborn,Germany,Non-attached,AGAINST,Die PARTEI
Udo,Voigt,Germany,Non-attached,NOT PRESENT,Nationaldemokratische Partei Deutschlands
Georgios,Epitideios,Greece,Non-attached,AGAINST - CORRECTED,Popular Association – Golden Dawn
Lampros,Fountoulis,Greece,Non-attached,FOR,Popular Association – Golden Dawn
Konstantinos,Papadakis,Greece,Non-attached,ABSTAINED,Communist Party of Greece
Eleftherios,Synadinos,Greece,Non-attached,FOR,Popular Association – Golden Dawn
Sotirios,Zarianopoulos,Greece,Non-attached,NOT PRESENT,Communist Party of Greece
Zoltán,Balczó,Hungary,Non-attached,AGAINST,Jobbik Magyarországért Mozgalom
Béla,Kovács,Hungary,Non-attached,NOT PRESENT,Jobbik Magyarországért Mozgalom
Krisztina,Morvai,Hungary,Non-attached,NOT PRESENT,Jobbik Magyarországért Mozgalom
David,Borrelli,Italy,Non-attached,AGAINST,Movimento 5 Stelle
Jacek,Saryusz-Wolski,Poland,Non-attached,AGAINST,Platforma Obywatelska
Dobromir,Sośnierz,Poland,Non-attached,AGAINST,Wolność
Kazimierz Michał,Ujazdowski,Poland,Non-attached,ABSTAINED - CORRECTED,Independent
Diane,Dodds,United Kingdom,Non-attached,AGAINST,Democratic Unionist Party
Mike,Hookem,United Kingdom,Non-attached,AGAINST,United Kingdom Independence Party
Diane,James,United Kingdom,Non-attached,NOT PRESENT,Independent
Steven,Woolfe,United Kingdom,Non-attached,AGAINST,Independent
