First Name,Last Name,Country,EU Political Group,26 March 2019 Final Vote,National Political Group
Karoline,Graswander-Hainz,Austria,,AGAINST,Sozialdemokratische Partei Österreichs
Jytte,Guteland,Sweden,,FOR,Arbetarepartiet- Socialdemokraterna
John,Howarth,United Kingdom,,FOR,Labour Party
Sergio,Gutiérrez Prieto,Spain,,NOT PRESENT,Partido Socialista Obrero Español
Ramón,Jáuregui Atondo,Spain,,FOR,Partido Socialista Obrero Español
Ole,Christensen,Denmark,,FOR,Socialdemokratiet
Jan,Keller,Czech Republic,,AGAINST,Česká strana sociálně demokratická
Olle,Ludvigsson,Sweden,,FOR,Arbetarepartiet- Socialdemokraterna
Aleksander,Gabelic,Sweden,,AGAINST,Arbetarepartiet- Socialdemokraterna
Soraya,Post,Sweden,,NOT PRESENT,Feministiskt initiativ
Miroslav,Poche,Czech Republic,,ABSTAINED,Česká strana sociálně demokratická
Enrique,Guerrero Salom,Spain,,FOR,Partido Socialista Obrero Español
Peter,Kouroumbashev,Bulgaria,,FOR,VMRO
Eugen,Freund,Austria,,AGAINST,Sozialdemokratische Partei Österreichs
Derek,Vaughan,United Kingdom,,FOR,Labour Party
Mary,Honeyball,United Kingdom,,FOR,Labour Party
Anna,Hedh,Sweden,,AGAINST,Arbetarepartiet- Socialdemokraterna
Kathleen,Van Brempt,Belgium,,FOR,Socialistische Partij.Anders
Jeppe,Kofod,Denmark,,FOR,Socialdemokratiet
Eider,Gardiazabal Rubial,Spain,,FOR,Partido Socialista Obrero Español
Marc,Tarabella,Belgium,,FOR,Parti Socialiste
Iratxe,García Pérez,Spain,,FOR,Partido Socialista Obrero Español
Neena,Gill,United Kingdom,,FOR,Labour Party
Theresa,Griffin,United Kingdom,,FOR,Labour Party
Rory,Palmer,United Kingdom,,NOT PRESENT,Labour Party
Claude,Moraes,United Kingdom,,FOR,Labour Party
Seb,Dance,United Kingdom,,FOR,Labour Party
Javi,López,Spain,,NOT PRESENT,Partit dels Socialistes de Catalunya
Alex,Mayer,United Kingdom,,AGAINST,Labour Party
Tonino,Picula,Croatia,,AGAINST,Socijaldemokratska partija Hrvatske
David,Martin,United Kingdom,,FOR,Labour Party
Linda,McAvan,United Kingdom,,FOR,Labour Party
Biljana,Borzan,Croatia,,AGAINST - CORRECTED,Socijaldemokratska partija Hrvatske
Maria,Arena,Belgium,,FOR,Parti Socialiste
Paul,Brannen,United Kingdom,,FOR,Labour Party
Inmaculada,Rodríguez-Piñero Fernández,Spain,,FOR,Partido Socialista Obrero Español
Siôn,Simon,United Kingdom,,FOR,Labour Party
Christel,Schaldemose,Denmark,,FOR,Socialdemokratiet
Lucy,Anderson,United Kingdom,,FOR,Labour Party
Pavel,Poc,Czech Republic,,NOT PRESENT,Česká strana sociálně demokratická
Karin,Kadenbach,Austria,,NOT PRESENT,Sozialdemokratische Partei Österreichs
Sergei,Stanishev,Bulgaria,,AGAINST - CORRECTED,Bulgarian Socialist Party
Jude,Kirton-Darling,United Kingdom,,FOR,Labour Party
Elena,Valenciano,Spain,,NOT PRESENT,Partido Socialista Obrero Español
Georgi,Pirinski,Bulgaria,,FOR,Bulgarian Socialist Party
Wajid,Khan,United Kingdom,,NOT PRESENT,Labour Party
Hugues,Bayet,Belgium,,FOR,Parti Socialiste
Momchil,Nekov,Bulgaria,,AGAINST,Bulgarian Socialist Party
Josef,Weidenholzer,Austria,,AGAINST,Sozialdemokratische Partei Österreichs
Costas,Mavrides,Cyprus,,NOT PRESENT,Democratic Party
Evelyn,Regner,Austria,,AGAINST,Sozialdemokratische Partei Österreichs
Marita,Ulvskog,Sweden,,FOR,Arbetarepartiet- Socialdemokraterna
Richard,Corbett,United Kingdom,,NOT PRESENT,Labour Party
Juan Fernando,López Aguilar,Spain,,FOR,Partido Socialista Obrero Español
Clare,Moody,United Kingdom,,FOR,Labour Party
Demetris,Papadakis,Cyprus,,NOT PRESENT,Movement for Social Democracy EDEK
Olga,Sehnalová,Czech Republic,,AGAINST,Česká strana sociálně demokratická
Tibor,Szanyi,Hungary,,AGAINST,Magyar Szocialista Párt
Ivari,Padar,Estonia,,AGAINST,Sotsiaaldemokraatlik Erakond
David-Maria,Sassoli,Italy,,FOR,Partito Democratico
Elly,Schlein,Italy,,AGAINST,Independent
Renato,Soru,Italy,,NOT PRESENT,Partito Democratico
Tiemo,Wölken,Germany,,AGAINST,Sozialdemokratische Partei Deutschlands
Babette,Winter,Germany,,ABSTAINED,Sozialdemokratische Partei Deutschlands
Patrizia,Toia,Italy,,FOR,Partito Democratico
