First Name,Last Name,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Eugen,Freund,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Karoline,Graswander-Hainz,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Karin,Kadenbach,Austria,S&D,NOT PRESENT,Sozialdemokratische Partei Österreichs
Evelyn,Regner,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Josef,Weidenholzer,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Maria,Arena,Belgium,S&D,FOR,Parti Socialiste
Hugues,Bayet,Belgium,S&D,FOR,Parti Socialiste
Marc,Tarabella,Belgium,S&D,FOR,Parti Socialiste
Kathleen,Van Brempt,Belgium,S&D,FOR,Socialistische Partij.Anders
Peter,Kouroumbashev,Bulgaria,S&D,FOR,VMRO
Momchil,Nekov,Bulgaria,S&D,AGAINST,Bulgarian Socialist Party
Georgi,Pirinski,Bulgaria,S&D,FOR,Bulgarian Socialist Party
Sergei,Stanishev,Bulgaria,S&D,AGAINST - CORRECTED,Bulgarian Socialist Party
Biljana,Borzan,Croatia,S&D,AGAINST - CORRECTED,Socijaldemokratska partija Hrvatske
Tonino,Picula,Croatia,S&D,AGAINST,Socijaldemokratska partija Hrvatske
Costas,Mavrides,Cyprus,S&D,NOT PRESENT,Democratic Party
Demetris,Papadakis,Cyprus,S&D,NOT PRESENT,Movement for Social Democracy EDEK
Jan,Keller,Czech Republic,S&D,AGAINST,Česká strana sociálně demokratická
Pavel,Poc,Czech Republic,S&D,NOT PRESENT,Česká strana sociálně demokratická
Miroslav,Poche,Czech Republic,S&D,ABSTAINED,Česká strana sociálně demokratická
Olga,Sehnalová,Czech Republic,S&D,AGAINST,Česká strana sociálně demokratická
Ole,Christensen,Denmark,S&D,FOR,Socialdemokratiet
Jeppe,Kofod,Denmark,S&D,FOR,Socialdemokratiet
Christel,Schaldemose,Denmark,S&D,FOR,Socialdemokratiet
Ivari,Padar,Estonia,S&D,AGAINST,Sotsiaaldemokraatlik Erakond
Liisa,Jaakonsaari,Finland,S&D,FOR,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Miapetra,Kumpula-Natri,Finland,S&D,FOR,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Eric,Andrieu,France,S&D,FOR,Parti socialiste
Guillaume,Balas,France,S&D,FOR,Parti socialiste
Pervenche,Berès,France,S&D,FOR,Parti socialiste
Karine,Gloanec Maurin,France,S&D,FOR,Parti socialiste
Sylvie,Guillaume,France,S&D,FOR,Parti socialiste
Louis-Joseph,Manscour,France,S&D,FOR,Parti socialiste
Edouard,Martin,France,S&D,FOR,Parti socialiste
Gilles,Pargneaux,France,S&D,NOT PRESENT,Parti socialiste
Vincent,Peillon,France,S&D,FOR,Parti socialiste
Christine,Revault D'Allonnes Bonnefoy,France,S&D,FOR,Parti socialiste
Virginie,Rozière,France,S&D,FOR,Parti radical de gauche
