First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Eugen,Freund,Male,67.0,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Karoline,Graswander-Hainz,Female,45.0,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Karin,Kadenbach,Female,60.0,Austria,S&D,NOT PRESENT,Sozialdemokratische Partei Österreichs
Evelyn,Regner,Female,53.0,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Josef,Weidenholzer,Male,69.0,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Maria,Arena,male,52.0,Belgium,S&D,FOR,Parti Socialiste
Hugues,Bayet,female,43.0,Belgium,S&D,FOR,Parti Socialiste
Marc,Tarabella,female,56.0,Belgium,S&D,FOR,Parti Socialiste
Kathleen,Van Brempt,male,49.0,Belgium,S&D,FOR,Socialistische Partij.Anders
Peter,Kouroumbashev,male,51.0,Bulgaria,S&D,FOR,VMRO
Momchil,Nekov,male,32.0,Bulgaria,S&D,AGAINST,Bulgarian Socialist Party
Georgi,Pirinski,female,70.0,Bulgaria,S&D,FOR,Bulgarian Socialist Party
Sergei,Stanishev,female,52.0,Bulgaria,S&D,AGAINST - CORRECTED,Bulgarian Socialist Party
Biljana,Borzan,female,47.0,Croatia,S&D,AGAINST - CORRECTED,Socijaldemokratska partija Hrvatske
Tonino,Picula,male,57.0,Croatia,S&D,AGAINST,Socijaldemokratska partija Hrvatske
Costas,Mavrides,male,56.0,Cyprus,S&D,NOT PRESENT,Democratic Party
Demetris,Papadakis,male,52.0,Cyprus,S&D,NOT PRESENT,Movement for Social Democracy EDEK
Jan,Keller,female,64.0,Czech Republic,S&D,AGAINST,Česká strana sociálně demokratická
Pavel,Poc,male,54.0,Czech Republic,S&D,NOT PRESENT,Česká strana sociálně demokratická
Miroslav,Poche,female,40.0,Czech Republic,S&D,ABSTAINED,Česká strana sociálně demokratická
Olga,Sehnalová,male,50.0,Czech Republic,S&D,AGAINST,Česká strana sociálně demokratická
Ole,Christensen,female,63.0,Denmark,S&D,FOR,Socialdemokratiet
Jeppe,Kofod,male,45.0,Denmark,S&D,FOR,Socialdemokratiet
Christel,Schaldemose,female,51.0,Denmark,S&D,FOR,Socialdemokratiet
Ivari,Padar,male,54.0,Estonia,S&D,AGAINST,Sotsiaaldemokraatlik Erakond
Liisa,Jaakonsaari,male,73.0,Finland,S&D,FOR,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Miapetra,Kumpula-Natri,male,46.0,Finland,S&D,FOR,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Eric,Andrieu,male,58.0,France,S&D,FOR,Parti socialiste
Guillaume,Balas,female,46.0,France,S&D,FOR,Parti socialiste
Pervenche,Berès,female,62.0,France,S&D,FOR,Parti socialiste
Karine,Gloanec Maurin,female,61.0,France,S&D,FOR,Parti socialiste
Sylvie,Guillaume,male,56.0,France,S&D,FOR,Parti socialiste
Louis-Joseph,Manscour,female,74.0,France,S&D,FOR,Parti socialiste
Edouard,Martin,female,55.0,France,S&D,FOR,Parti socialiste
Gilles,Pargneaux,male,62.0,France,S&D,NOT PRESENT,Parti socialiste
Vincent,Peillon,male,58.0,France,S&D,FOR,Parti socialiste
Christine,Revault D'Allonnes Bonnefoy,female,47.0,France,S&D,FOR,Parti socialiste
Virginie,Rozière,male,42.0,France,S&D,FOR,Parti radical de gauche
Isabelle,Thomas,female,57.0,France,S&D,FOR,Parti socialiste
Udo,Bullmann,male,62.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Michael,Detjen,male,60.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Ismail,Ertug,male,43.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Knut,Fleckenstein,female,65.0,Germany,S&D,ABSTAINED,Sozialdemokratische Partei Deutschlands
Evelyne,Gebhardt,male,65.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Jens,Geier,male,57.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Iris,Hoffmann,male,55.0,Germany,S&D,NOT PRESENT,Sozialdemokratische Partei Deutschlands
Petra,Kammerevert,male,52.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Sylvia-Yvonne,Kaufmann,male,64.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Arndt,Kohn,male,38.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Dietmar,Köster,male,62.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Constanze,Krehl,female,62.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Bernd,Lange,female,63.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Jo,Leinen,male,70.0,Germany,S&D,ABSTAINED,Sozialdemokratische Partei Deutschlands
Arne,Lietz,female,42.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Susanne,Melior,male,60.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Norbert,Neuser,female,70.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Maria,Noichl,male,52.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Gabriele,Preuss,male,64.0,Germany,S&D,AGAINST - CORRECTED,Sozialdemokratische Partei Deutschlands
Ulrike,Rodust,male,69.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Joachim,Schuster,female,56.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Peter,Simon,female,51.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Birgit,Sippel,female,59.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Martina,Werner,female,57.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Kerstin,Westphal,female,56.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Babette,Winter,male,54.0,Germany,S&D,ABSTAINED,Sozialdemokratische Partei Deutschlands
Tiemo,Wölken,male,33.0,Germany,S&D,AGAINST,Sozialdemokratische Partei Deutschlands
Nikos,Androulakis,female,40.0,Greece,S&D,NOT PRESENT,Panhellenic Socialist Movement - Olive Tree
Giorgos,Grammatikakis,female,79.0,Greece,S&D,FOR,The River
Eva,Kaili,female,40.0,Greece,S&D,NOT PRESENT,Panhellenic Socialist Movement - Olive Tree
Miltiadis,Kyrkos,female,59.0,Greece,S&D,FOR,The River
Csaba,Molnár,female,43.0,Hungary,S&D,AGAINST - CORRECTED,Demokratikus Koalíció
Péter,Niedermüller,female,66.0,Hungary,S&D,AGAINST,Demokratikus Koalíció
Tibor,Szanyi,male,62.0,Hungary,S&D,AGAINST,Magyar Szocialista Párt
István,Ujhelyi,male,44.0,Hungary,S&D,NOT PRESENT,Magyar Szocialista Párt
Nessa,Childers,female,62.0,Ireland,S&D,AGAINST,Independent
Brando,Benifei,male,33.0,Italy,S&D,AGAINST,Partito Democratico
Goffredo Maria,Bettini,male,66.0,Italy,S&D,FOR,Partito Democratico
Simona,Bonafè,male,45.0,Italy,S&D,FOR,Partito Democratico
