First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Heinz K.,Becker,Male,68.0,Austria,EPP,FOR,Österreichische Volkspartei
Eugen,Freund,Male,67.0,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Karin,Kadenbach,Female,60.0,Austria,S&D,NOT PRESENT,Sozialdemokratische Partei Österreichs
Othmar,Karas,Male,61.0,Austria,EPP,FOR,Österreichische Volkspartei
Franz,Obermayr,Male,66.0,Austria,ENF,ABSTAINED,Freiheitliche Partei Österreichs
Paul,Rübig,Male,65.0,Austria,EPP,FOR,Österreichische Volkspartei
Josef,Weidenholzer,Male,69.0,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Gerolf,Annemans,male,60.0,Belgium,ENF,AGAINST,Vlaams Belang
Ivo,Belet,female,59.0,Belgium,EPP,FOR,Christen-Democratisch & Vlaams
Mark,Demesmaeker,male,60.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Gérard,Deprez,male,75.0,Belgium,ALDE,FOR,Mouvement Réformateur
Philippe,Lamberts,male,56.0,Belgium,Greens-EFA,AGAINST,Ecologistes Confédérés pour l'organisation de Luttes Originales
Louis,Michel,female,71.0,Belgium,ALDE,FOR,Mouvement Réformateur
Frédérique,Ries,female,59.0,Belgium,ALDE,FOR,Mouvement Réformateur
Claude,Rolin,male,61.0,Belgium,EPP,FOR,Centre Démocrate Humaniste
Bart,Staes,male,60.0,Belgium,Greens-EFA,FOR,Groen
Marc,Tarabella,female,56.0,Belgium,S&D,FOR,Parti Socialiste
Guy,Verhofstadt,female,65.0,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Lieve,Wierinck,male,61.0,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Iskra,Mihaylova,female,61.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Georgi,Pirinski,female,70.0,Bulgaria,S&D,FOR,Bulgarian Socialist Party
Vladimir,Urutchev,male,64.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Ivan,Jakovčić,male,61.0,Croatia,ALDE,FOR,Istarski demokratski sabor - Dieta democratica istriana
Tonino,Picula,male,57.0,Croatia,S&D,AGAINST,Socijaldemokratska partija Hrvatske
Jozo,Radoš,female,62.0,Croatia,ALDE,AGAINST,Građansko Liberalni Savez
Davor,Škrlec,male,56.0,Croatia,Greens-EFA,AGAINST,Independent
Dubravka,Šuica,male,61.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Ruža,Tomašić,male,60.0,Croatia,ECR,ABSTAINED,Hrvatska konzervativna stranka
Takis,Hadjigeorgiou,male,62.0,Cyprus,GUE-NGL,AGAINST,Progressive Party of Working People - Left - New Forces
Costas,Mavrides,male,56.0,Cyprus,S&D,NOT PRESENT,Democratic Party
Neoklis,Sylikiotis,male,60.0,Cyprus,GUE-NGL,NOT PRESENT,Progressive Party of Working People - Left - New Forces
Eleni,Theocharous,male,65.0,Cyprus,ECR,NOT PRESENT,Independent
Jan,Keller,female,64.0,Czech Republic,S&D,AGAINST,Česká strana sociálně demokratická
Jaromír,Kohlíček,female,66.0,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Jiří,Maštálka,male,63.0,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Jiří,Payne,female,62.0,Czech Republic,EFDD,AGAINST,Strana svobodných občanů
Jaromír,Štětina,male,75.0,Czech Republic,EPP,NOT PRESENT,TOP 09 a Starostové
Pavel,Svoboda,male,56.0,Czech Republic,EPP,FOR,Křesťanská a demokratická unie - Československá strana lidová
Evžen,Tošenovský,female,63.0,Czech Republic,ECR,AGAINST,Občanská demokratická strana
Jan,Zahradil,female,56.0,Czech Republic,ECR,AGAINST,Občanská demokratická strana
Margrete,Auken,male,74.0,Denmark,Greens-EFA,AGAINST,Socialistisk Folkeparti
Bendt,Bendtsen,male,65.0,Denmark,EPP,FOR,Det Konservative Folkeparti
Ole,Christensen,female,63.0,Denmark,S&D,FOR,Socialdemokratiet
Igor,Gräzin,male,66.0,Estonia,ALDE,AGAINST,Eesti Reformierakond
Tunne,Kelam,male,82.0,Estonia,EPP,FOR,Erakond Isamaa ja Res Publica Liit
Heidi,Hautala,male,63.0,Finland,Greens-EFA,AGAINST,Vihreä liitto
Liisa,Jaakonsaari,male,73.0,Finland,S&D,FOR,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Anneli,Jäätteenmäki,female,64.0,Finland,ALDE,FOR,Suomen Keskusta
Sirpa,Pietikäinen,male,59.0,Finland,EPP,FOR - CORRECTED,Kansallinen Kokoomus
Pirkko,Ruohonen-Lerner,male,62.0,Finland,ECR,AGAINST,Perussuomalaiset
Petri,Sarvamaa,male,58.0,Finland,EPP,FOR,Kansallinen Kokoomus
Nils,Torvalds,female,73.0,Finland,ALDE,AGAINST,Svenska folkpartiet
Michèle,Alliot-Marie,male,72.0,France,EPP,FOR,Les Républicains
Eric,Andrieu,male,58.0,France,S&D,FOR,Parti socialiste
Marie-Christine,Arnautu,male,66.0,France,ENF,FOR,Rassemblement national
Jean,Arthuis,male,74.0,France,ALDE,FOR,Union des Démocrates et Indépendants
Pervenche,Berès,female,62.0,France,S&D,FOR,Parti socialiste
Joëlle,Bergeron,female,69.0,France,EFDD,FOR,Sans étiquette
Dominique,Bilde,female,65.0,France,ENF,FOR,Rassemblement national
Marie-Christine,Boutonnet,female,70.0,France,ENF,FOR,Rassemblement national
José,Bové,female,65.0,France,Greens-EFA,FOR,Europe écologie
Alain,Cadec,female,65.0,France,EPP,FOR,Les Républicains
Jean-Marie,Cavada,female,79.0,France,ALDE,FOR,Generation Citoyens
Jacques,Colombier,male,67.0,France,ENF,FOR,Rassemblement national
Thierry,Cornillet,female,67.0,France,ALDE,FOR,Parti Radical
Michel,Dantin,female,59.0,France,EPP,FOR,Les Républicains
Angélique,Delahaye,female,56.0,France,EPP,FOR,Les Républicains
Mireille,D'Ornano,male,67.0,France,EFDD,FOR,Rassemblement national
Pascal,Durand,female,58.0,France,Greens-EFA,NOT PRESENT,Europe écologie
Karine,Gloanec Maurin,female,61.0,France,S&D,FOR,Parti socialiste
Bruno,Gollnisch,female,69.0,France,Non-attached,FOR,Rassemblement national
Nathalie,Griesbeck,male,62.0,France,ALDE,NOT PRESENT,Mouvement Démocrate
Françoise,Grossetête,male,72.0,France,EPP,FOR,Les Républicains
Sylvie,Guillaume,male,56.0,France,S&D,FOR,Parti socialiste
Brice,Hortefeux,male,60.0,France,EPP,FOR,Les Républicains
Jean-François,Jalkh,male,61.0,France,ENF,FOR,Rassemblement national
France,Jamet,male,58.0,France,ENF,FOR,Rassemblement national
Eva,Joly,male,75.0,France,Greens-EFA,ABSTAINED,Europe écologie
Patricia,Lalonde,female,66.0,France,ALDE,FOR,Union des Démocrates et Indépendants
Alain,Lamassoure,female,75.0,France,EPP,FOR,Les Républicains
Patrick,Le Hyaric,female,62.0,France,GUE-NGL,FOR,Front de Gauche
Jean-Marie,Le Pen,male,90.0,France,Non-attached,NOT PRESENT,Rassemblement national
Gilles,Lebreton,female,60.0,France,ENF,FOR,Rassemblement national/ Rassemblement Bleu Marine
Philippe,Loiseau,male,61.0,France,ENF,FOR,Rassemblement national
Louis-Joseph,Manscour,female,74.0,France,S&D,FOR,Parti socialiste
Dominique,Martin,female,57.0,France,ENF,FOR,Rassemblement national
Joëlle,Mélin,male,69.0,France,ENF,FOR,Rassemblement national
Bernard,Monot,male,56.0,France,EFDD,FOR,Rassemblement national
Elisabeth,Morin-Chartier,male,71.0,France,EPP,FOR,Les Républicains
Renaud,Muselier,male,59.0,France,EPP,FOR,Les Républicains
Gilles,Pargneaux,male,62.0,France,S&D,NOT PRESENT,Parti socialiste
Vincent,Peillon,male,58.0,France,S&D,FOR,Parti socialiste
