First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Karoline,Graswander-Hainz,Female,45.0,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Barbara,Kappel,Female,54.0,Austria,ENF,NOT PRESENT,Freiheitliche Partei Österreichs
Lukas,Mandl,Male,39.0,Austria,EPP,FOR,Österreichische Volkspartei
Georg,Mayer,Male,45.0,Austria,ENF,ABSTAINED,Freiheitliche Partei Österreichs
Angelika,Mlinar,Female,48.0,Austria,ALDE,AGAINST,NEOS – Das Neue Österreich
Evelyn,Regner,Female,53.0,Austria,S&D,AGAINST,Sozialdemokratische Partei Österreichs
Michel,Reimon,Male,47.0,Austria,Greens-EFA,AGAINST,Die Grünen - Die Grüne Alternative
Claudia,Schmidt,Female,55.0,Austria,EPP,FOR,Österreichische Volkspartei
Monika,Vana,Female,49.0,Austria,Greens-EFA,AGAINST,Die Grünen - Die Grüne Alternative
Harald,Vilimsky,Male,52.0,Austria,ENF,ABSTAINED,Freiheitliche Partei Österreichs
Thomas,Waitz,Male,45.0,Austria,Greens-EFA,AGAINST,Die Grünen - Die Grüne Alternative
Maria,Arena,male,52.0,Belgium,S&D,FOR,Parti Socialiste
Pascal,Arimont,female,44.0,Belgium,EPP,AGAINST,Christlich Soziale Partei
Hugues,Bayet,female,43.0,Belgium,S&D,FOR,Parti Socialiste
Ralph,Packet,male,28.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Helga,Stevens,female,50.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Anneleen,Van Bossuyt,male,39.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Kathleen,Van Brempt,male,49.0,Belgium,S&D,FOR,Socialistische Partij.Anders
Tom,Vandenkendelaere,male,34.0,Belgium,EPP,FOR,Christen-Democratisch & Vlaams
Hilde,Vautmans,male,46.0,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Asim,Ademov,male,50.0,Bulgaria,EPP,FOR,Citizens for European Development of Bulgaria
Nedzhmi,Ali,male,46.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Nikolay,Barekov,male,46.0,Bulgaria,ECR,ABSTAINED,Reload Bulgaria Party
Angel,Dzhambazki,male,40.0,Bulgaria,ECR,AGAINST,VMRO
Filiz,Hyusmenova,male,52.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Peter,Kouroumbashev,male,51.0,Bulgaria,S&D,FOR,VMRO
Andrey,Kovatchev,male,51.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Ilhan,Kyuchyuk,female,33.0,Bulgaria,ALDE,AGAINST,Movement for Rights and Freedoms
Svetoslav Hristov,Malinov,male,51.0,Bulgaria,EPP,AGAINST - CORRECTED,Democrats for Strong Bulgaria
Eva,Maydell,male,33.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Momchil,Nekov,male,32.0,Bulgaria,S&D,AGAINST,Bulgarian Socialist Party
Andrey,Novakov,female,30.0,Bulgaria,EPP,FOR - CORRECTED,Citizens for European Development of Bulgaria
Emil,Radev,male,47.0,Bulgaria,EPP,FOR,Citizens for European Development of Bulgaria
Sergei,Stanishev,female,52.0,Bulgaria,S&D,AGAINST - CORRECTED,Bulgarian Socialist Party
Biljana,Borzan,female,47.0,Croatia,S&D,AGAINST - CORRECTED,Socijaldemokratska partija Hrvatske
Ivana,Maletić,male,45.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Marijana,Petir,male,43.0,Croatia,EPP,FOR,Independent
Ivica,Tolić,male,50.0,Croatia,EPP,NOT PRESENT,Hrvatska demokratska zajednica
Željana,Zovko,female,49.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Lefteris,Christoforou,female,55.0,Cyprus,EPP,NOT PRESENT,Democratic Rally
Demetris,Papadakis,male,52.0,Cyprus,S&D,NOT PRESENT,Movement for Social Democracy EDEK
Dita,Charanzová,male,43.0,Czech Republic,ALDE,ABSTAINED,ANO 2011
Martina,Dlabajová,female,42.0,Czech Republic,ALDE,ABSTAINED,ANO 2011
Petr,Ježek,male,53.0,Czech Republic,ALDE,AGAINST,ANO 2011
Kateřina,Konečná,male,38.0,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Luděk,Niedermayer,male,53.0,Czech Republic,EPP,ABSTAINED,TOP 09 a Starostové
Pavel,Poc,male,54.0,Czech Republic,S&D,NOT PRESENT,Česká strana sociálně demokratická
Miroslav,Poche,female,40.0,Czech Republic,S&D,ABSTAINED,Česká strana sociálně demokratická
Stanislav,Polčák,female,39.0,Czech Republic,EPP,ABSTAINED,Starostové a nezávisli
Jiří,Pospíšil,male,43.0,Czech Republic,EPP,AGAINST,TOP 09 a Starostové
Olga,Sehnalová,male,50.0,Czech Republic,S&D,AGAINST,Česká strana sociálně demokratická
Michaela,Šojdrová,male,55.0,Czech Republic,EPP,FOR,Křesťanská a demokratická unie - Československá strana lidová
Pavel,Telička,female,53.0,Czech Republic,ALDE,AGAINST,ANO 2011
Tomáš,Zdechovský,male,39.0,Czech Republic,EPP,AGAINST,Křesťanská a demokratická unie - Československá strana lidová
Jørn,Dohrmann,male,50.0,Denmark,ECR,NOT PRESENT,Dansk Folkeparti
Rina Ronja,Kari,male,34.0,Denmark,GUE-NGL,AGAINST,Folkebevægelsen mod EU
Rikke-Louise,Karlsson,male,53.0,Denmark,Non-attached,FOR,Independent
Jeppe,Kofod,male,45.0,Denmark,S&D,FOR,Socialdemokratiet
Morten,Løkkegaard,male,54.0,Denmark,ALDE,FOR,Venstre
Morten,Messerschmidt,male,38.0,Denmark,ECR,FOR,Dansk Folkeparti
Morten Helveg,Petersen,male,52.0,Denmark,ALDE,FOR,Det Radikale Venstre
Jens,Rohde,female,48.0,Denmark,ALDE,FOR,Det Radikale Venstre
Christel,Schaldemose,female,51.0,Denmark,S&D,FOR,Socialdemokratiet
Anders Primdahl,Vistisen,male,31.0,Denmark,ECR,FOR,Dansk Folkeparti
Ivari,Padar,male,54.0,Estonia,S&D,AGAINST,Sotsiaaldemokraatlik Erakond
Urmas,Paet,male,44.0,Estonia,ALDE,ABSTAINED,Eesti Reformierakond
Indrek,Tarand,male,55.0,Estonia,Greens-EFA,AGAINST,Sõltumatu
Yana,Toom,female,52.0,Estonia,ALDE,AGAINST,Eesti Keskerakond
Jussi,Halla-Aho,male,47.0,Finland,ECR,AGAINST,Perussuomalaiset
Elsi,Katainen,female,52.0,Finland,ALDE,FOR,Suomen Keskusta
Miapetra,Kumpula-Natri,male,46.0,Finland,S&D,FOR,Suomen Sosialidemokraattinen Puolue/Finlands Socialdemokratiska Parti
Merja,Kyllönen,male,42.0,Finland,GUE-NGL,FOR,Vasemmistoliitto
Mirja,Vehkaperä,male,42.0,Finland,ALDE,FOR,Suomen Keskusta
Henna,Virkkunen,male,46.0,Finland,EPP,FOR,Kansallinen Kokoomus
Guillaume,Balas,female,46.0,France,S&D,FOR,Parti socialiste
Nicolas,Bay,male,41.0,France,ENF,FOR,Rassemblement national
Steeve,Briois,female,46.0,France,ENF,FOR,Rassemblement national
Aymeric,Chauprade,male,50.0,France,EFDD,FOR,Les Français Libres
Arnaud,Danjean,female,48.0,France,EPP,FOR,Les Républicains
Rachida,Dati,male,53.0,France,EPP,FOR,Les Républicains
Karima,Delli,male,40.0,France,Greens-EFA,ABSTAINED,Europe écologie
Geoffroy,Didier,male,42.0,France,EPP,FOR,Les Républicains
Sylvie,Goddyn,female,54.0,France,EFDD,FOR,Rassemblement national
Yannick,Jadot,male,51.0,France,Greens-EFA,ABSTAINED,Europe écologie
Marc,Joulaud,male,51.0,France,EPP,FOR,Les Républicains
Philippe,Juvin,female,55.0,France,EPP,FOR,Les Républicains
