First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Asim,Ademov,male,50.0,Bulgaria,EPP,FOR,Citizens for European Development of Bulgaria
Nedzhmi,Ali,male,46.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Nikolay,Barekov,male,46.0,Bulgaria,ECR,ABSTAINED,Reload Bulgaria Party
Angel,Dzhambazki,male,40.0,Bulgaria,ECR,AGAINST,VMRO
Filiz,Hyusmenova,male,52.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Peter,Kouroumbashev,male,51.0,Bulgaria,S&D,FOR,VMRO
Andrey,Kovatchev,male,51.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Ilhan,Kyuchyuk,female,33.0,Bulgaria,ALDE,AGAINST,Movement for Rights and Freedoms
Svetoslav Hristov,Malinov,male,51.0,Bulgaria,EPP,AGAINST - CORRECTED,Democrats for Strong Bulgaria
Eva,Maydell,male,33.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Iskra,Mihaylova,female,61.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Momchil,Nekov,male,32.0,Bulgaria,S&D,AGAINST,Bulgarian Socialist Party
Andrey,Novakov,female,30.0,Bulgaria,EPP,FOR - CORRECTED,Citizens for European Development of Bulgaria
Georgi,Pirinski,female,70.0,Bulgaria,S&D,FOR,Bulgarian Socialist Party
Emil,Radev,male,47.0,Bulgaria,EPP,FOR,Citizens for European Development of Bulgaria
Sergei,Stanishev,female,52.0,Bulgaria,S&D,AGAINST - CORRECTED,Bulgarian Socialist Party
Vladimir,Urutchev,male,64.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Biljana,Borzan,female,47.0,Croatia,S&D,AGAINST - CORRECTED,Socijaldemokratska partija Hrvatske
Ivan,Jakovčić,male,61.0,Croatia,ALDE,FOR,Istarski demokratski sabor - Dieta democratica istriana
Ivana,Maletić,male,45.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Marijana,Petir,male,43.0,Croatia,EPP,FOR,Independent
Tonino,Picula,male,57.0,Croatia,S&D,AGAINST,Socijaldemokratska partija Hrvatske
Jozo,Radoš,female,62.0,Croatia,ALDE,AGAINST,Građansko Liberalni Savez
Davor,Škrlec,male,56.0,Croatia,Greens-EFA,AGAINST,Independent
Dubravka,Šuica,male,61.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Ivica,Tolić,male,50.0,Croatia,EPP,NOT PRESENT,Hrvatska demokratska zajednica
Ruža,Tomašić,male,60.0,Croatia,ECR,ABSTAINED,Hrvatska konzervativna stranka
Željana,Zovko,female,49.0,Croatia,EPP,FOR,Hrvatska demokratska zajednica
Lefteris,Christoforou,female,55.0,Cyprus,EPP,NOT PRESENT,Democratic Rally
Takis,Hadjigeorgiou,male,62.0,Cyprus,GUE-NGL,AGAINST,Progressive Party of Working People - Left - New Forces
Costas,Mavrides,male,56.0,Cyprus,S&D,NOT PRESENT,Democratic Party
Demetris,Papadakis,male,52.0,Cyprus,S&D,NOT PRESENT,Movement for Social Democracy EDEK
Neoklis,Sylikiotis,male,60.0,Cyprus,GUE-NGL,NOT PRESENT,Progressive Party of Working People - Left - New Forces
Eleni,Theocharous,male,65.0,Cyprus,ECR,NOT PRESENT,Independent
Dita,Charanzová,male,43.0,Czech Republic,ALDE,ABSTAINED,ANO 2011
Martina,Dlabajová,female,42.0,Czech Republic,ALDE,ABSTAINED,ANO 2011
Petr,Ježek,male,53.0,Czech Republic,ALDE,AGAINST,ANO 2011
Jan,Keller,female,64.0,Czech Republic,S&D,AGAINST,Česká strana sociálně demokratická
Jaromír,Kohlíček,female,66.0,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Kateřina,Konečná,male,38.0,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Jiří,Maštálka,male,63.0,Czech Republic,GUE-NGL,AGAINST,Komunistická strana Čech a Moravy
Luděk,Niedermayer,male,53.0,Czech Republic,EPP,ABSTAINED,TOP 09 a Starostové
Jiří,Payne,female,62.0,Czech Republic,EFDD,AGAINST,Strana svobodných občanů
Pavel,Poc,male,54.0,Czech Republic,S&D,NOT PRESENT,Česká strana sociálně demokratická
Miroslav,Poche,female,40.0,Czech Republic,S&D,ABSTAINED,Česká strana sociálně demokratická
Stanislav,Polčák,female,39.0,Czech Republic,EPP,ABSTAINED,Starostové a nezávisli
Jiří,Pospíšil,male,43.0,Czech Republic,EPP,AGAINST,TOP 09 a Starostové
Olga,Sehnalová,male,50.0,Czech Republic,S&D,AGAINST,Česká strana sociálně demokratická
Michaela,Šojdrová,male,55.0,Czech Republic,EPP,FOR,Křesťanská a demokratická unie - Československá strana lidová
Jaromír,Štětina,male,75.0,Czech Republic,EPP,NOT PRESENT,TOP 09 a Starostové
Pavel,Svoboda,male,56.0,Czech Republic,EPP,FOR,Křesťanská a demokratická unie - Československá strana lidová
Pavel,Telička,female,53.0,Czech Republic,ALDE,AGAINST,ANO 2011
Evžen,Tošenovský,female,63.0,Czech Republic,ECR,AGAINST,Občanská demokratická strana
Jan,Zahradil,female,56.0,Czech Republic,ECR,AGAINST,Občanská demokratická strana
Tomáš,Zdechovský,male,39.0,Czech Republic,EPP,AGAINST,Křesťanská a demokratická unie - Československá strana lidová
Igor,Gräzin,male,66.0,Estonia,ALDE,AGAINST,Eesti Reformierakond
Tunne,Kelam,male,82.0,Estonia,EPP,FOR,Erakond Isamaa ja Res Publica Liit
Ivari,Padar,male,54.0,Estonia,S&D,AGAINST,Sotsiaaldemokraatlik Erakond
Urmas,Paet,male,44.0,Estonia,ALDE,ABSTAINED,Eesti Reformierakond
Indrek,Tarand,male,55.0,Estonia,Greens-EFA,AGAINST,Sõltumatu
Yana,Toom,female,52.0,Estonia,ALDE,AGAINST,Eesti Keskerakond
Zoltán,Balczó,male,71.0,Hungary,Non-attached,AGAINST,Jobbik Magyarországért Mozgalom
Andrea,Bocskor,male,40.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Andor,Deli,male,41.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Tamás,Deutsch,female,52.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Norbert,Erdős,male,46.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Kinga,Gál,male,48.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
András,Gyürk,female,46.0,Hungary,EPP,NOT PRESENT,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
György,Hölvényi,male,56.0,Hungary,EPP,FOR,Kereszténydemokrata Néppárt 335
Lívia,Járóka,male,44.0,Hungary,EPP,NOT PRESENT,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Benedek,Jávor,male,46.0,Hungary,Greens-EFA,NOT PRESENT,Együtt 2014 - Párbeszéd Magyarországért
Ádám,Kósa,male,43.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Béla,Kovács,male,59.0,Hungary,Non-attached,NOT PRESENT,Jobbik Magyarországért Mozgalom
Tamás,Meszerics,female,54.0,Hungary,Greens-EFA,AGAINST,Lehet Más A Politika
Csaba,Molnár,female,43.0,Hungary,S&D,AGAINST - CORRECTED,Demokratikus Koalíció
Krisztina,Morvai,male,55.0,Hungary,Non-attached,NOT PRESENT,Jobbik Magyarországért Mozgalom
Péter,Niedermüller,female,66.0,Hungary,S&D,AGAINST,Demokratikus Koalíció
György,Schöpflin,male,79.0,Hungary,EPP,NOT PRESENT,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
József,Szájer,male,57.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
Tibor,Szanyi,male,62.0,Hungary,S&D,AGAINST,Magyar Szocialista Párt
László,Tőkés,female,66.0,Hungary,EPP,FOR,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt
István,Ujhelyi,male,44.0,Hungary,S&D,NOT PRESENT,Magyar Szocialista Párt
Iveta,Grigule-Pēterse,male,54.0,Latvia,ALDE,FOR,Zaļo un Zemnieku savienība
Sandra,Kalniete,female,66.0,Latvia,EPP,FOR,Partija VIENOTĪBA
Aleksejs,Loskutovs,male,56.0,Latvia,EPP,FOR - CORRECTED,Partija VIENOTĪBA
Andrejs,Mamikins,male,43.0,Latvia,S&D,AGAINST,Saskaņa - Sociāldemokrātiskā partija
Miroslavs,Mitrofanovs,female,52.0,Latvia,Greens-EFA,AGAINST,Latvijas Krievu savienība
Kārlis,Šadurskis ,male,59.0,Latvia,EPP,FOR,Partija VIENOTĪBA
Inese,Vaidere,male,66.0,Latvia,EPP,FOR,Partija VIENOTĪBA
Roberts,Zīle,male,60.0,Latvia,ECR,FOR,Nacionālā apvienība Visu Latvijai! - Tēvzemei un Brīvībai/LNNK
Laima Liucija,Andrikienė,female,61.0,Lithuania,EPP,FOR,Tėvynės sąjunga-Lietuvos krikščionys demokratai
Petras,Auštrevičius,male,55.0,Lithuania,ALDE,NOT PRESENT,Lietuvos Respublikos Liberalų Sąjūdis
Zigmantas,Balčytis,male,65.0,Lithuania,S&D,NOT PRESENT,Lietuvos socialdemokratų partija
Vilija,Blinkevičiūtė,female,59.0,Lithuania,S&D,FOR,Lietuvos socialdemokratų partija
Antanas,Guoga,male,45.0,Lithuania,EPP,AGAINST - CORRECTED,Independent
Valentinas,Mazuronis,male,65.0,Lithuania,ALDE,FOR,Darbo partija
Rolandas,Paksas,male,62.0,Lithuania,EFDD,FOR,Partija Tvarka ir teisingumas
Bronis,Ropė,male,63.0,Lithuania,Greens-EFA,AGAINST,Lietuvos valstiečių ir žaliųjų sąjunga
Algirdas,Saudargas,male,70.0,Lithuania,EPP,FOR,Tėvynės sąjunga-Lietuvos krikščionys demokratai
Valdemar,Tomaševski,male,54.0,Lithuania,ECR,NOT PRESENT,Lietuvos lenkų rinkimų akcija – Krikščioniškų šeimų sąjunga
Viktor,Uspaskich,female,59.0,Lithuania,ALDE,FOR,Darbo partija
David,Casa,male,50.0,Malta,EPP,AGAINST,Partit Nazzjonalista
Miriam,Dalli,female,42.0,Malta,S&D,FOR,Partit Laburista
Roberta,Metsola,male,40.0,Malta,EPP,AGAINST,Partit Nazzjonalista
Marlene,Mizzi,male,64.0,Malta,S&D,FOR,Partit Laburista
Alfred,Sant,female,71.0,Malta,S&D,FOR,Partit Laburista
Francis,Zammit Dimech,male,64.0,Malta,EPP,FOR,Partit Nazzjonalista
Michał,Boni,male,64.0,Poland,EPP,AGAINST,Platforma Obywatelska
Jerzy,Buzek,female,78.0,Poland,EPP,NOT PRESENT,Platforma Obywatelska
Ryszard,Czarnecki,female,56.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Edward,Czesak,male,68.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Anna Elżbieta,Fotyga,female,62.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Lidia Joanna,Geringer de Oedenberg,female,61.0,Poland,S&D,AGAINST,Independent
Adam,Gierek,female,80.0,Poland,S&D,AGAINST,Unia Pracy
Beata,Gosiewska,female,48.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Andrzej,Grzyb,female,62.0,Poland,EPP,AGAINST,Polskie Stronnictwo Ludowe
Krzysztof,Hetman,female,44.0,Poland,EPP,AGAINST,Polskie Stronnictwo Ludowe
Czesław,Hoc,male,65.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Danuta Maria,Hübner,male,70.0,Poland,EPP,FOR,Platforma Obywatelska
Robert Jarosław,Iwaszkiewicz,male,56.0,Poland,EFDD,AGAINST,KORWiN
Danuta,Jazłowiecka,male,61.0,Poland,EPP,FOR - CORRECTED,Platforma Obywatelska
Marek,Jurek,male,58.0,Poland,ECR,AGAINST,Prawica Rzeczypospolitej
Jarosław,Kalinowski,male,56.0,Poland,EPP,AGAINST,Polskie Stronnictwo Ludowe
Karol,Karski,male,52.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Sławomir,Kłosowski,male,55.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
Agnieszka,Kozłowska-Rajewicz,male,49.0,Poland,EPP,FOR,Platforma Obywatelska
Zdzisław,Krasnodębski,male,65.0,Poland,ECR,AGAINST,Independent
Urszula,Krupa,male,69.0,Poland,ECR,AGAINST,Independent
Barbara,Kudrycka,male,63.0,Poland,EPP,FOR,Platforma Obywatelska
Zbigniew,Kuźmiuk,female,62.0,Poland,ECR,AGAINST,Prawo i Sprawiedliwość
