First Name,Last Name,Gender,Age,Country,Political_Group,_26_March_2019_Final_Vote,National_Political_Group
Gerolf,Annemans,male,60.0,Belgium,ENF,AGAINST,Vlaams Belang
Maria,Arena,male,52.0,Belgium,S&D,FOR,Parti Socialiste
Mark,Demesmaeker,male,60.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Gérard,Deprez,male,75.0,Belgium,ALDE,FOR,Mouvement Réformateur
Philippe,Lamberts,male,56.0,Belgium,Greens-EFA,AGAINST,Ecologistes Confédérés pour l'organisation de Luttes Originales
Ralph,Packet,male,28.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Claude,Rolin,male,61.0,Belgium,EPP,FOR,Centre Démocrate Humaniste
Bart,Staes,male,60.0,Belgium,Greens-EFA,FOR,Groen
Anneleen,Van Bossuyt,male,39.0,Belgium,ECR,AGAINST,Nieuw-Vlaamse Alliantie
Kathleen,Van Brempt,male,49.0,Belgium,S&D,FOR,Socialistische Partij.Anders
Tom,Vandenkendelaere,male,34.0,Belgium,EPP,FOR,Christen-Democratisch & Vlaams
Hilde,Vautmans,male,46.0,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Lieve,Wierinck,male,61.0,Belgium,ALDE,FOR,Open Vlaamse Liberalen en Democraten
Asim,Ademov,male,50.0,Bulgaria,EPP,FOR,Citizens for European Development of Bulgaria
Nedzhmi,Ali,male,46.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Nikolay,Barekov,male,46.0,Bulgaria,ECR,ABSTAINED,Reload Bulgaria Party
Angel,Dzhambazki,male,40.0,Bulgaria,ECR,AGAINST,VMRO
Filiz,Hyusmenova,male,52.0,Bulgaria,ALDE,FOR,Movement for Rights and Freedoms
Peter,Kouroumbashev,male,51.0,Bulgaria,S&D,FOR,VMRO
Andrey,Kovatchev,male,51.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Svetoslav Hristov,Malinov,male,51.0,Bulgaria,EPP,AGAINST - CORRECTED,Democrats for Strong Bulgaria
Eva,Maydell,male,33.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
Momchil,Nekov,male,32.0,Bulgaria,S&D,AGAINST,Bulgarian Socialist Party
Emil,Radev,male,47.0,Bulgaria,EPP,FOR,Citizens for European Development of Bulgaria
Vladimir,Urutchev,male,64.0,Bulgaria,EPP,ABSTAINED,Citizens for European Development of Bulgaria
