First Name,Last Name,Gender,Date of Birth,Age,Country,Jurisdiction,Political_Group,_26_March_2019_Final_Vote,26 March 2019 Procedural Vote,Pledge 2019,Sept 18 Vote DELETE,Sept 18 Vote IMCO,Sept 18 Vote VOSS,Sept 18 Vote REPORT,June 18 Vote Negotiations,National_Political_Group,National Political Group (Short),Email,Twitter,Wikidata code,EP Webpage,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
Merja,Kyllönen,male,25/01/1977,42,Finland,-,GUE-NGL,FOR,FOR,-,FOR,FOR,AGAINST,FOR,AGAINST,Vasemmistoliitto,Vasemmistoliitto,merja.kyllonen@europarl.europa.eu,KyllonenMerja,Q460676,http://www.europarl.europa.eu/meps/en/124736/_home.html,,,,,,,
Patrick,Le Hyaric,female,04/02/1957,62,France,Ile-de-France,GUE-NGL,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Front de Gauche,FDG,patrick.lehyaric@europarl.europa.eu,PatrickLeHyaric,Q981486,http://www.europarl.europa.eu/meps/en/96735/_home.html,,,,,,,
Emmanuel,Maurel,male,10/05/1973,45,France,Ouest,GUE-NGL,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Parti socialiste,PS,emmanuel.maurel@europarl.europa.eu,emmanuelmaurel,Q3052795,http://www.europarl.europa.eu/meps/en/24505/_home.html,,,,,,,
Marie-Pierre,Vieu,male,01/02/1967,52,France,Sud-Ouest,GUE-NGL,FOR,AGAINST,-,AGAINST,ABSTAINED,ABSTAINED,FOR,FOR,Front de Gauche,FDG,marie-pierre.vieu@europarl.europa.eu,mariepierrevieu,Q30341962,http://www.europarl.europa.eu/meps/en/188721/_home.html,,,,,,,
Kostas,Chrysogonos,male,27/06/1961,57,Greece,-,GUE-NGL,FOR,FOR,-,ABSTAINED,NOT PRESENT,ABSTAINED,ABSTAINED,FOR,Coalition of the Radical Left,ΣΥΡΙΖΑ/SYRIZA,kostas.chrysogonos@europarl.europa.eu,Chrysogonos_K,Q17155824,http://www.europarl.europa.eu/meps/en/125061/_home.html,,,,,,,
Morten,Messerschmidt,male,13/11/1980,38,Denmark,-,ECR,FOR,ABSTAINED,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Dansk Folkeparti,DF,morten.messerschmidt@europarl.europa.eu,mrmesserschmidt,Q1338185,http://www.europarl.europa.eu/meps/en/96663/_home.html,,,,,,,
Anders Primdahl,Vistisen,male,12/11/1987,31,Denmark,-,ECR,FOR,FOR,-,AGAINST,AGAINST,FOR,FOR,AGAINST,Dansk Folkeparti,DF,anders.vistisen@europarl.europa.eu,andersvistisen,Q12301466,http://www.europarl.europa.eu/meps/en/124875/_home.html,,,,,,,
Hans-Olaf,Henkel,male,14/03/1940,79,Germany,-,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Liberal-Conservative Refomists,LKR,hans-olaf.henkel@europarl.europa.eu,HansOlafHenkel,Q105564,http://www.europarl.europa.eu/meps/en/124823/_home.html,,,,,,,
Bernd,Kölmel,male,08/12/1958,60,Germany,-,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,FOR,Liberal-Conservative Refomists,LKR,bernd.koelmel@europarl.europa.eu,,Q16999699,http://www.europarl.europa.eu/meps/en/124824/_home.html,,,,,,,
Raffaele,Fitto,male,28/08/1969,49,Italy,Meridionale,ECR,FOR,AGAINST,-,AGAINST,AGAINST,FOR,FOR,NOT PRESENT,Conservatori e Riformisti,CoR,raffaele.fitto@europarl.europa.eu,raffaelefitto,Q1060314,http://www.europarl.europa.eu/meps/en/4465/_home.html,,,,,,,
