Full Name,Wikidata code,Gender,DoB,Age,Unnamed: 5,Gender.1
Heinz K. Becker,Q89051,male,29/06/1950,68.0,,Male
Eugen Freund,Q1372517,male,15/04/1951,67.0,,Male
Karoline Graswander-Hainz,Q20656233,female,02/02/1974,45.0,,Female
Karin Kadenbach,Q114290,female,19/04/1958,60.0,,Female
Barbara Kappel,Q807496,female,16/02/1965,54.0,,Female
Othmar Karas,Q85368,male,24/12/1957,61.0,,Male
Lukas Mandl,Q1876930,male,12/07/1979,39.0,,Male
Georg Mayer,Q16064658,male,12/10/1973,45.0,,Male
Angelika Mlinar,Q524225,female,29/06/1970,48.0,,Female
Franz Obermayr,Q86823,male,25/05/1952,66.0,,Male
Evelyn Regner,Q87549,female,24/01/1966,53.0,,Female
Michel Reimon,Q1930882,male,11/07/1971,47.0,,Male
Paul Rübig,Q85374,male,06/05/1953,65.0,,Male
Claudia Schmidt,Q1097772,female,26/04/1963,55.0,,Female
Monika Vana,Q1944783,female,14/09/1969,49.0,,Female
Harald Vilimsky,Q90244,male,22/07/1966,52.0,,Male
Thomas Waitz,Q38057897,male,16/05/1973,45.0,,Male
Josef Weidenholzer,Q86829,male,06/03/1950,69.0,,Male
Gerolf Annemans,Q2294644,male,08/11/1958,60.0,,Male
Maria Arena,Q457117,female,17/12/1966,52.0,,Female
Pascal Arimont,Q1614514,male,25/09/1974,44.0,,Male
Hugues Bayet,Q3142509,male,12/04/1975,43.0,,Male
Ivo Belet,Q280390,male,07/06/1959,59.0,,Male
Mark Demesmaeker,Q2368415,male,12/09/1958,60.0,,Male
Gérard Deprez,Q1399098,male,13/08/1943,75.0,,Male
Philippe Lamberts,Q937002,male,14/03/1963,56.0,,Male
Louis Michel,Q469352,male,02/09/1947,71.0,,Male
Ralph Packet,Q59247381,male,17/07/1990,28.0,,Male
Frédérique Ries,Q458084,female,14/05/1959,59.0,,Female
Claude Rolin,Q17067276,male,26/05/1957,61.0,,Male
Bart Staes,Q809212,male,07/08/1958,60.0,,Male
Helga Stevens,Q2359620,female,09/08/1968,50.0,,Female
Marc Tarabella,Q1892853,male,11/03/1963,56.0,,Male
Anneleen Van Bossuyt,Q18755697,female,10/01/1980,39.0,,Female
Kathleen Van Brempt,Q15995,female,18/11/1969,49.0,,Female
Tom Vandenkendelaere,Q18225970,male,02/09/1984,34.0,,Male
Hilde Vautmans,Q2780443,female,02/05/1972,46.0,,Female
Guy Verhofstadt,Q12978,male,11/04/1953,65.0,,Male
Lieve Wierinck,Q3238348,female,03/07/1957,61.0,,Female
Asim Ademov,Q45237464,male,03/12/1968,50.0,,Male
Nedzhmi Ali,Q3137902,male,16/07/1972,46.0,,Male
Nikolay Barekov,Q12288663,male,16/10/1972,46.0,,Male
Angel Dzhambazki,Q12271852,male,21/03/1979,40.0,,Male
Filiz Hyusmenova,Q446584,female,10/06/1966,52.0,,Female
Peter Kouroumbashev,Q15987050,male,28/01/1968,51.0,,Male
Andrey Kovatchev,Q4759190,male,13/12/1967,51.0,,Male
Ilhan Kyuchyuk,Q17266806,male,16/09/1985,33.0,,Male
Svetoslav Hristov Malinov,Q557071,male,19/01/1968,51.0,,Male
Eva Maydell,Q17266811,female,26/01/1986,33.0,,Female
Iskra Mihaylova,Q17143283,female,07/09/1957,61.0,,Female
Momchil Nekov,Q17266745,male,13/05/1986,32.0,,Male
Andrey Novakov,Q18575732,male,07/07/1988,30.0,,Male
Georgi Pirinski,Q1509254,male,10/09/1948,70.0,,Male
Emil Radev,Q17143079,male,26/05/1971,47.0,,Male
Sergei Stanishev,Q202117,male,05/05/1966,52.0,,Male
Vladimir Urutchev,Q121785,male,01/10/1954,64.0,,Male
Biljana Borzan,Q11074254,female,29/11/1971,47.0,,Female
Ivan Jakovčić,Q3109021,male,15/11/1957,61.0,,Male
Ivana Maletić,Q13107505,female,12/10/1973,45.0,,Female
Marijana Petir,Q982428,female,04/10/1975,43.0,,Female
Tonino Picula,Q2617559,male,31/08/1961,57.0,,Male
Jozo Radoš,Q3441723,male,03/11/1956,62.0,,Male
Davor Škrlec,Q17315720,male,01/01/1963,56.0,,Male
Dubravka Šuica,Q299667,female,20/05/1957,61.0,,Female
Ivica Tolić,Q27600131,male,01/09/1968,50.0,,Male
Ruža Tomašić,Q1260118,female,10/05/1958,60.0,,Female
Željana Zovko,Q27666246,female,25/03/1970,49.0,,Female
Lefteris Christoforou,Q16571128,male,31/08/1963,55.0,,Male
Takis Hadjigeorgiou,Q545492,male,11/12/1956,62.0,,Male
Costas Mavrides,Q17265935,male,27/05/1962,56.0,,Male
Demetris Papadakis,Q17315553,male,22/08/1966,52.0,,Male
Neoklis Sylikiotis,Q16330441,male,04/01/1959,60.0,,Male
Eleni Theocharous,Q468077,female,24/06/1953,65.0,,Female
Dita Charanzová,Q15870693,female,30/04/1975,43.0,,Female
Martina Dlabajová,Q15870687,female,26/07/1976,42.0,,Female
Petr Ježek,Q15817642,male,28/03/1965,53.0,,Male
Jan Keller,Q3491839,male,23/01/1955,64.0,,Male
Jaromír Kohlíček,Q1399081,male,23/02/1953,66.0,,Male
Kateřina Konečná,Q12028942,female,20/01/1981,38.0,,Female
Jiří Maštálka,Q1399066,male,03/01/1956,63.0,,Male
Luděk Niedermayer,Q15742179,male,13/03/1966,53.0,,Male
Jiří Payne,Q12025429,male,07/07/1956,62.0,,Male
Pavel Poc,Q535283,male,26/05/1964,54.0,,Male
Miroslav Poche,Q15730943,male,03/06/1978,40.0,,Male
Stanislav Polčák,Q12055995,male,21/02/1980,39.0,,Male
Jiří Pospíšil,Q962333,male,24/11/1975,43.0,,Male
Olga Sehnalová,Q11797891,female,25/10/1968,50.0,,Female
Michaela Šojdrová,Q12036669,female,28/10/1963,55.0,,Female
Jaromír Štětina,Q3511688,male,06/04/1943,75.0,,Male
Pavel Svoboda,Q7155774,male,09/04/1962,56.0,,Male
Pavel Telička,Q1357170,male,24/08/1965,53.0,,Male
Evžen Tošenovský,Q3510471,male,26/02/1956,63.0,,Male
Jan Zahradil,Q159490,male,20/03/1963,56.0,,Male
Tomáš Zdechovský,Q12059351,male,02/11/1979,39.0,,Male
Margrete Auken,Q261120,female,06/01/1945,74.0,,Female
Bendt Bendtsen,Q816805,male,25/03/1954,65.0,,Male
Ole Christensen,Q1357367,male,07/05/1955,63.0,,Male
Jørn Dohrmann,Q12320916,male,09/01/1969,50.0,,Male
Rina Ronja Kari,Q12333503,female,15/02/1985,34.0,,Female
Rikke-Louise Karlsson,Q17142887,female,29/04/1965,53.0,,Female
Jeppe Kofod,Q1799046,male,14/03/1974,45.0,,Male
Morten Løkkegaard,Q546215,male,20/12/1964,54.0,,Male
Morten Messerschmidt,Q1338185,male,13/11/1980,38.0,,Male
Morten Helveg Petersen,Q12327679,male,14/09/1966,52.0,,Male
Jens Rohde,Q546246,male,18/04/1970,48.0,,Male
Christel Schaldemose,Q455548,female,04/08/1967,51.0,,Female
Anders Primdahl Vistisen,Q12301466,male,12/11/1987,31.0,,Male
Igor Gräzin,Q5993313,male,27/06/1952,66.0,,Male
Tunne Kelam,Q1345946,male,10/07/1936,82.0,,Male
Ivari Padar,Q1398025,male,12/03/1965,54.0,,Male
Urmas Paet,Q58100,male,20/04/1974,44.0,,Male
Indrek Tarand,Q930324,male,03/02/1964,55.0,,Male
Yana Toom,Q12379326,female,15/10/1966,52.0,,Female
Jussi Halla-Aho,Q3040284,male,27/04/1971,47.0,,Male
Heidi Hautala,Q256001,female,14/11/1955,63.0,,Female
Liisa Jaakonsaari,Q460600,female,02/09/1945,73.0,,Female
Anneli Jäätteenmäki,Q229517,female,11/02/1955,64.0,,Female
Elsi Katainen,Q11857612,female,17/12/1966,52.0,,Female
Miapetra Kumpula-Natri,Q5413481,female,19/05/1972,46.0,,Female
Merja Kyllönen,Q460676,female,25/01/1977,42.0,,Female
Sirpa Pietikäinen,Q456901,female,19/04/1959,59.0,,Female
Pirkko Ruohonen-Lerner,Q7198040,female,06/02/1957,62.0,,Male
Petri Sarvamaa,Q918818,male,15/09/1960,58.0,,Male
Nils Torvalds,Q949046,male,07/08/1945,73.0,,Male
Mirja Vehkaperä,Q11882986,female,06/04/1976,42.0,,Female
