Full Name,Wikidata code,Gender,DoB,Age,Old_Age
Heinz K. Becker,Q89051,male,1950-06-29,68.0,68
Eugen Freund,Q1372517,male,1951-04-15,67.0,67
Karoline Graswander-Hainz,Q20656233,female,1974-02-02,45.0,45
Karin Kadenbach,Q114290,female,1958-04-19,60.0,60
Barbara Kappel,Q807496,female,1965-02-16,54.0,54
Othmar Karas,Q85368,male,1957-12-24,61.0,61
Lukas Mandl,Q1876930,nan,,,39
Georg Mayer,Q16064658,nan,,,45
Angelika Mlinar,Q524225,nan,,,48
Franz Obermayr,Q86823,nan,,,66
Evelyn Regner,Q87549,nan,,,53
Michel Reimon,Q1930882,nan,,,47
Paul Rübig,Q85374,nan,,,65
Claudia Schmidt,Q1097772,nan,,,0
Monika Vana,Q1944783,nan,,,49
Harald Vilimsky,Q90244,nan,,,52
Thomas Waitz,Q38057897,nan,,,0
Josef Weidenholzer,Q86829,nan,,,69
Gerolf Annemans,Q2294644,nan,,,60
Maria Arena,Q6761015,nan,,,0
Pascal Arimont,Q1614514,nan,,,44
Hugues Bayet,Q3142509,nan,,,0
Ivo Belet,Q280390,nan,,,59
Mark Demesmaeker,Q2368415,nan,,,60
Gérard Deprez,Q1399098,nan,,,75
Philippe Lamberts,Q937002,nan,,,55
Louis Michel,Q469352,nan,,,71
Ralph Packet,Q59247381,nan,,,0
Frédérique Ries,Q458084,nan,,,59
Claude Rolin,Q17067276,nan,,,61
Bart Staes,Q809212,nan,,,60
Helga Stevens,Q2359620,nan,,,50
Marc Tarabella,Q1892853,nan,,,56
Anneleen Van Bossuyt,Q18755697,nan,,,39
Kathleen Van Brempt,Q15995,nan,,,49
Tom Vandenkendelaere,Q18225970,nan,,,34
Hilde Vautmans,Q2780443,nan,,,0
Guy Verhofstadt,Q12978,nan,,,0
Lieve Wierinck,Q3238348,nan,,,61
Asim Ademov,Q45237464,nan,,,50
Nedzhmi Ali,Q3137902,nan,,,46
Nikolay Barekov,Q12288663,nan,,,46
Angel Dzhambazki,Q12271852,nan,,,0
Filiz Hyusmenova,Q446584,nan,,,52
Peter Kouroumbashev,Q15987050,nan,,,0
