First Name,Last Name,,Combined Names
Heinz K.,Becker,,Heinz K. Becker
Eugen,Freund,,Eugen Freund
Karoline,Graswander-Hainz,,Karoline Graswander-Hainz
Karin,Kadenbach,,Karin Kadenbach
Barbara,Kappel,,Barbara Kappel
Othmar,Karas,,Othmar Karas
Lukas,Mandl,,Lukas Mandl
Georg,Mayer,,Georg Mayer
Angelika,Mlinar,,Angelika Mlinar
Franz,Obermayr,,Franz Obermayr
Evelyn,Regner,,Evelyn Regner
Michel,Reimon,,Michel Reimon
Paul,Rübig,,Paul Rübig
Claudia,Schmidt,,Claudia Schmidt
Monika,Vana,,Monika Vana
Harald,Vilimsky,,Harald Vilimsky
Thomas,Waitz,,Thomas Waitz
Josef,Weidenholzer,,Josef Weidenholzer
Gerolf,Annemans,,Gerolf Annemans
Maria,Arena,,Maria Arena
Pascal,Arimont,,Pascal Arimont
Hugues,Bayet,,Hugues Bayet
Ivo,Belet,,Ivo Belet
Mark,Demesmaeker,,Mark Demesmaeker
Gérard,Deprez,,Gérard Deprez
Philippe,Lamberts,,Philippe Lamberts
Louis,Michel,,Louis Michel
Ralph,Packet,,Ralph Packet
Frédérique,Ries,,Frédérique Ries
Claude,Rolin,,Claude Rolin
Bart,Staes,,Bart Staes
Helga,Stevens,,Helga Stevens
Marc,Tarabella,,Marc Tarabella
Anneleen,Van Bossuyt,,Anneleen Van Bossuyt
Kathleen,Van Brempt,,Kathleen Van Brempt
Tom,Vandenkendelaere,,Tom Vandenkendelaere
Hilde,Vautmans,,Hilde Vautmans
Guy,Verhofstadt,,Guy Verhofstadt
Lieve,Wierinck,,Lieve Wierinck
Asim,Ademov,,Asim Ademov
Nedzhmi,Ali,,Nedzhmi Ali
Nikolay,Barekov,,Nikolay Barekov
Angel,Dzhambazki,,Angel Dzhambazki
Filiz,Hyusmenova,,Filiz Hyusmenova
Peter,Kouroumbashev,,Peter Kouroumbashev
Andrey,Kovatchev,,Andrey Kovatchev
Ilhan,Kyuchyuk,,Ilhan Kyuchyuk
Svetoslav Hristov,Malinov,,Svetoslav Hristov Malinov
Eva,Maydell,,Eva Maydell
Iskra,Mihaylova,,Iskra Mihaylova
Momchil,Nekov,,Momchil Nekov
Andrey,Novakov,,Andrey Novakov
Georgi,Pirinski,,Georgi Pirinski
Emil,Radev,,Emil Radev
Sergei,Stanishev,,Sergei Stanishev
Vladimir,Urutchev,,Vladimir Urutchev
Biljana,Borzan,,Biljana Borzan
Ivan,Jakovčić,,Ivan Jakovčić
Ivana,Maletić,,Ivana Maletić
Marijana,Petir,,Marijana Petir
Tonino,Picula,,Tonino Picula
Jozo,Radoš,,Jozo Radoš
Davor,Škrlec,,Davor Škrlec
Dubravka,Šuica,,Dubravka Šuica
Ivica,Tolić,,Ivica Tolić
Ruža,Tomašić,,Ruža Tomašić
Željana,Zovko,,Željana Zovko
Lefteris,Christoforou,,Lefteris Christoforou
Takis,Hadjigeorgiou,,Takis Hadjigeorgiou
Costas,Mavrides,,Costas Mavrides
Demetris,Papadakis,,Demetris Papadakis
Neoklis,Sylikiotis,,Neoklis Sylikiotis
Eleni,Theocharous,,Eleni Theocharous
Dita,Charanzová,,Dita Charanzová
Martina,Dlabajová,,Martina Dlabajová
Petr,Ježek,,Petr Ježek
Jan,Keller,,Jan Keller
Jaromír,Kohlíček,,Jaromír Kohlíček
Kateřina,Konečná,,Kateřina Konečná
Jiří,Maštálka,,Jiří Maštálka
Luděk,Niedermayer,,Luděk Niedermayer
Jiří,Payne,,Jiří Payne
Pavel,Poc,,Pavel Poc
Miroslav,Poche,,Miroslav Poche
Stanislav,Polčák,,Stanislav Polčák
Jiří,Pospíšil,,Jiří Pospíšil
Olga,Sehnalová,,Olga Sehnalová
Michaela,Šojdrová,,Michaela Šojdrová
Jaromír,Štětina,,Jaromír Štětina
Pavel,Svoboda,,Pavel Svoboda
Pavel,Telička,,Pavel Telička
Evžen,Tošenovský,,Evžen Tošenovský
Jan,Zahradil,,Jan Zahradil
Tomáš,Zdechovský,,Tomáš Zdechovský
Margrete,Auken,,Margrete Auken
Bendt,Bendtsen,,Bendt Bendtsen
Ole,Christensen,,Ole Christensen
Jørn,Dohrmann,,Jørn Dohrmann
Rina Ronja,Kari,,Rina Ronja Kari
Rikke-Louise,Karlsson,,Rikke-Louise Karlsson
Jeppe,Kofod,,Jeppe Kofod
Morten,Løkkegaard,,Morten Løkkegaard
Morten,Messerschmidt,,Morten Messerschmidt
Morten Helveg,Petersen,,Morten Helveg Petersen
Jens,Rohde,,Jens Rohde
Christel,Schaldemose,,Christel Schaldemose
Anders Primdahl,Vistisen,,Anders Primdahl Vistisen
Igor,Gräzin,,Igor Gräzin
Tunne,Kelam,,Tunne Kelam
Ivari,Padar,,Ivari Padar
Urmas,Paet,,Urmas Paet
Indrek,Tarand,,Indrek Tarand
Yana,Toom,,Yana Toom
Jussi,Halla-Aho,,Jussi Halla-Aho
Heidi,Hautala,,Heidi Hautala
Liisa,Jaakonsaari,,Liisa Jaakonsaari
Anneli,Jäätteenmäki,,Anneli Jäätteenmäki
Elsi,Katainen,,Elsi Katainen
Miapetra,Kumpula-Natri,,Miapetra Kumpula-Natri
Merja,Kyllönen,,Merja Kyllönen
Sirpa,Pietikäinen,,Sirpa Pietikäinen
Pirkko,Ruohonen-Lerner,,Pirkko Ruohonen-Lerner
Petri,Sarvamaa,,Petri Sarvamaa
Nils,Torvalds,,Nils Torvalds
Mirja,Vehkaperä,,Mirja Vehkaperä
Henna,Virkkunen,,Henna Virkkunen
Michèle,Alliot-Marie,,Michèle Alliot-Marie
Eric,Andrieu,,Eric Andrieu
Marie-Christine,Arnautu,,Marie-Christine Arnautu
Jean,Arthuis,,Jean Arthuis
Guillaume,Balas,,Guillaume Balas
Nicolas,Bay,,Nicolas Bay
Pervenche,Berès,,Pervenche Berès
Joëlle,Bergeron,,Joëlle Bergeron
Dominique,Bilde,,Dominique Bilde
Marie-Christine,Boutonnet,,Marie-Christine Boutonnet
José,Bové,,José Bové
Steeve,Briois,,Steeve Briois
Alain,Cadec,,Alain Cadec
Jean-Marie,Cavada,,Jean-Marie Cavada
Aymeric,Chauprade,,Aymeric Chauprade
Jacques,Colombier,,Jacques Colombier
Thierry,Cornillet,,Thierry Cornillet
Arnaud,Danjean,,Arnaud Danjean
Michel,Dantin,,Michel Dantin
Rachida,Dati,,Rachida Dati
Angélique,Delahaye,,Angélique Delahaye
Karima,Delli,,Karima Delli
Geoffroy,Didier,,Geoffroy Didier
Mireille,D'Ornano,,Mireille D'Ornano
Pascal,Durand,,Pascal Durand
Karine,Gloanec Maurin,,Karine Gloanec Maurin
Sylvie,Goddyn,,Sylvie Goddyn
Bruno,Gollnisch,,Bruno Gollnisch
Nathalie,Griesbeck,,Nathalie Griesbeck
Françoise,Grossetête,,Françoise Grossetête
Sylvie,Guillaume,,Sylvie Guillaume
Brice,Hortefeux,,Brice Hortefeux
Yannick,Jadot,,Yannick Jadot
Jean-François,Jalkh,,Jean-François Jalkh
France,Jamet,,France Jamet
Eva,Joly,,Eva Joly
Marc,Joulaud,,Marc Joulaud
Philippe,Juvin,,Philippe Juvin
Patricia,Lalonde,,Patricia Lalonde
Alain,Lamassoure,,Alain Lamassoure
Jérôme,Lavrilleux,,Jérôme Lavrilleux
Patrick,Le Hyaric,,Patrick Le Hyaric
Jean-Marie,Le Pen,,Jean-Marie Le Pen
Gilles,Lebreton,,Gilles Lebreton
Christelle,Lechevalier,,Christelle Lechevalier
Philippe,Loiseau,,Philippe Loiseau
Louis-Joseph,Manscour,,Louis-Joseph Manscour
Dominique,Martin,,Dominique Martin
Edouard,Martin,,Edouard Martin
Emmanuel,Maurel,,Emmanuel Maurel
Joëlle,Mélin,,Joëlle Mélin
Bernard,Monot,,Bernard Monot
Sophie,Montel,,Sophie Montel
Nadine,Morano,,Nadine Morano
Elisabeth,Morin-Chartier,,Elisabeth Morin-Chartier
Renaud,Muselier,,Renaud Muselier
Younous,Omarjee,,Younous Omarjee
Gilles,Pargneaux,,Gilles Pargneaux
Vincent,Peillon,,Vincent Peillon
Florian,Philippot,,Florian Philippot
Maurice,Ponga,,Maurice Ponga
Franck,Proust,,Franck Proust
Christine,Revault D'Allonnes Bonnefoy,,Christine Revault D'Allonnes Bonnefoy
Dominique,Riquet,,Dominique Riquet
Michèle,Rivasi,,Michèle Rivasi
Robert,Rochefort,,Robert Rochefort
Virginie,Rozière,,Virginie Rozière
Tokia,Saïfi,,Tokia Saïfi
Anne,Sander,,Anne Sander
Jean-Luc,Schaffhauser,,Jean-Luc Schaffhauser
Isabelle,Thomas,,Isabelle Thomas
Mylène,Troszczynski,,Mylène Troszczynski
Marie-Christine,Vergiat,,Marie-Christine Vergiat
Marie-Pierre,Vieu,,Marie-Pierre Vieu
Reimer,Böge,,Reimer Böge
Elmar,Brok,,Elmar Brok
Klaus,Buchner,,Klaus Buchner
Udo,Bullmann,,Udo Bullmann
Reinhard,Bütikofer,,Reinhard Bütikofer
Daniel,Caspary,,Daniel Caspary
Birgit,Collin-Langen,,Birgit Collin-Langen
Michael,Cramer,,Michael Cramer
Albert,Dess,,Albert Dess
Michael,Detjen,,Michael Detjen
Stefan,Eck,,Stefan Eck
Christian,Ehler,,Christian Ehler
Cornelia,Ernst,,Cornelia Ernst
Ismail,Ertug,,Ismail Ertug
Markus,Ferber,,Markus Ferber
Knut,Fleckenstein,,Knut Fleckenstein
Karl-Heinz,Florenz,,Karl-Heinz Florenz
Romeo,Franz,,Romeo Franz
Michael,Gahler,,Michael Gahler
Evelyne,Gebhardt,,Evelyne Gebhardt
Stefan,Gehrold,,Stefan Gehrold
Jens,Geier,,Jens Geier
Arne,Gericke,,Arne Gericke
Sven,Giegold,,Sven Giegold
Jens,Gieseke,,Jens Gieseke
Ingeborg,Grässle,,Ingeborg Grässle
Thomas,Händel,,Thomas Händel
Rebecca,Harms,,Rebecca Harms
Martin,Häusling,,Martin Häusling
Hans-Olaf,Henkel,,Hans-Olaf Henkel
Maria,Heubuch,,Maria Heubuch
Nadja,Hirsch,,Nadja Hirsch
Iris,Hoffmann,,Iris Hoffmann
Monika,Hohlmeier,,Monika Hohlmeier
Peter,Jahr,,Peter Jahr
Petra,Kammerevert,,Petra Kammerevert
Sylvia-Yvonne,Kaufmann,,Sylvia-Yvonne Kaufmann
Ska,Keller,,Ska Keller
Wolf,Klinz,,Wolf Klinz
Dieter-Lebrecht,Koch,,Dieter-Lebrecht Koch
Arndt,Kohn,,Arndt Kohn
Bernd,Kölmel,,Bernd Kölmel
Dietmar,Köster,,Dietmar Köster
Constanze,Krehl,,Constanze Krehl
Werner,Kuhn,,Werner Kuhn
Bernd,Lange,,Bernd Lange
Werner,Langen,,Werner Langen
Jo,Leinen,,Jo Leinen
Peter,Liese,,Peter Liese
Arne,Lietz,,Arne Lietz
Norbert,Lins,,Norbert Lins
Barbara,Lochbihler,,Barbara Lochbihler
Sabine,Lösing,,Sabine Lösing
Bernd,Lucke,,Bernd Lucke
Thomas,Mann,,Thomas Mann
David,McAllister,,David McAllister
Gesine,Meissner,,Gesine Meissner
Susanne,Melior,,Susanne Melior
Jörg,Meuthen,,Jörg Meuthen
Martina,Michels,,Martina Michels
Ulrike,Müller,,Ulrike Müller
Norbert,Neuser,,Norbert Neuser
Angelika,Niebler,,Angelika Niebler
Maria,Noichl,,Maria Noichl
Markus,Pieper,,Markus Pieper
Marcus,Pretzell,,Marcus Pretzell
Gabriele,Preuss,,Gabriele Preuss
Godelieve,Quisthoudt-Rowohl,,Godelieve Quisthoudt-Rowohl
Dennis,Radtke,,Dennis Radtke
Julia,Reda,,Julia Reda
Terry,Reintke,,Terry Reintke
Ulrike,Rodust,,Ulrike Rodust
Martin,Schirdewan,,Martin Schirdewan
Helmut,Scholz,,Helmut Scholz
Sven,Schulze,,Sven Schulze
Joachim,Schuster,,Joachim Schuster
Andreas,Schwab,,Andreas Schwab
Peter,Simon,,Peter Simon
Birgit,Sippel,,Birgit Sippel
Renate,Sommer,,Renate Sommer
Martin,Sonneborn,,Martin Sonneborn
Joachim,Starbatty,,Joachim Starbatty
Ulrike,Trebesius,,Ulrike Trebesius
Helga,Trüpel,,Helga Trüpel
Sabine,Verheyen,,Sabine Verheyen
Udo,Voigt,,Udo Voigt
Axel,Voss,,Axel Voss
Manfred,Weber,,Manfred Weber
Martina,Werner,,Martina Werner
Kerstin,Westphal,,Kerstin Westphal
Rainer,Wieland,,Rainer Wieland
Hermann,Winkler,,Hermann Winkler
Babette,Winter,,Babette Winter
