Full Name,Age
Heinz K. Becker,68.0
Eugen Freund,67.0
Karoline Graswander-Hainz,45.0
Karin Kadenbach,60.0
Barbara Kappel,54.0
Othmar Karas,61.0
Lukas Mandl,39.0
Georg Mayer,45.0
Angelika Mlinar,48.0
Franz Obermayr,66.0
Evelyn Regner,53.0
Michel Reimon,47.0
Paul Rübig,65.0
Claudia Schmidt,0.0
Monika Vana,49.0
Harald Vilimsky,52.0
Thomas Waitz,0.0
Josef Weidenholzer,69.0
Gerolf Annemans,60.0
Maria Arena,0.0
Pascal Arimont,44.0
Hugues Bayet,0.0
Ivo Belet,59.0
Mark Demesmaeker,60.0
Gérard Deprez,75.0
Philippe Lamberts,55.0
Louis Michel,71.0
Ralph Packet,0.0
Frédérique Ries,59.0
Claude Rolin,61.0
Bart Staes,60.0
Helga Stevens,50.0
Marc Tarabella,56.0
Anneleen Van Bossuyt,39.0
Kathleen Van Brempt,49.0
Tom Vandenkendelaere,34.0
Hilde Vautmans,0.0
Guy Verhofstadt,0.0
Lieve Wierinck,61.0
Asim Ademov,50.0
Nedzhmi Ali,46.0
Nikolay Barekov,46.0
Angel Dzhambazki,0.0
Filiz Hyusmenova,52.0
Peter Kouroumbashev,0.0
Andrey Kovatchev,51.0
Ilhan Kyuchyuk,33.0
Svetoslav Hristov Malinov,51.0
Eva Maydell,33.0
Iskra Mihaylova,61.0
Momchil Nekov,4.0
Andrey Novakov,30.0
Georgi Pirinski,70.0
Emil Radev,0.0
Sergei Stanishev,52.0
Vladimir Urutchev,64.0
Biljana Borzan,47.0
Ivan Jakovčić,61.0
Ivana Maletić,45.0
Marijana Petir,0.0
Tonino Picula,57.0
Jozo Radoš,62.0
Davor Škrlec,56.0
Dubravka Šuica,61.0
Ivica Tolić,0.0
Ruža Tomašić,60.0
Željana Zovko,49.0
Lefteris Christoforou,0.0
Takis Hadjigeorgiou,62.0
Costas Mavrides,56.0
Demetris Papadakis,0.0
Neoklis Sylikiotis,60.0
Eleni Theocharous,65.0
Dita Charanzová,43.0
Martina Dlabajová,42.0
Petr Ježek,53.0
Jan Keller,5.0
Jaromír Kohlíček,66.0
Kateřina Konečná,38.0
Jiří Maštálka,63.0
Luděk Niedermayer,53.0
Jiří Payne,0.0
Pavel Poc,0.0
Miroslav Poche,40.0
Stanislav Polčák,39.0
Jiří Pospíšil,0.0
Olga Sehnalová,0.0
Michaela Šojdrová,55.0
Jaromír Štětina,75.0
Pavel Svoboda,56.0
Pavel Telička,53.0
Evžen Tošenovský,63.0
Jan Zahradil,0.0
Tomáš Zdechovský,39.0
Margrete Auken,74.0
Bendt Bendtsen,65.0
Ole Christensen,63.0
Jørn Dohrmann,50.0
Rina Ronja Kari,34.0
Rikke-Louise Karlsson,53.0
Jeppe Kofod,45.0
Morten Løkkegaard,54.0
Morten Messerschmidt,38.0
Morten Helveg Petersen,52.0
Jens Rohde,48.0
Christel Schaldemose,51.0
Anders Primdahl Vistisen,31.0
Igor Gräzin,66.0
Tunne Kelam,82.0
Ivari Padar,54.0
Urmas Paet,44.0
Indrek Tarand,55.0
Yana Toom,52.0
Jussi Halla-Aho,47.0
Heidi Hautala,63.0
Liisa Jaakonsaari,73.0
Anneli Jäätteenmäki,64.0
Elsi Katainen,52.0
Miapetra Kumpula-Natri,46.0
Merja Kyllönen,42.0
Sirpa Pietikäinen,59.0
Pirkko Ruohonen-Lerner,62.0
Petri Sarvamaa,58.0
Nils Torvalds,73.0
Mirja Vehkaperä,42.0
Henna Virkkunen,46.0
Michèle Alliot-Marie,0.0
Eric Andrieu,0.0
Marie-Christine Arnautu,66.0
Jean Arthuis,74.0
Guillaume Balas,0.0
Nicolas Bay,41.0
Pervenche Berès,62.0
Joëlle Bergeron,69.0
Dominique Bilde,65.0
Marie-Christine Boutonnet,70.0
José Bové,65.0
Steeve Briois,46.0
Alain Cadec,65.0
Jean-Marie Cavada,79.0
Aymeric Chauprade,50.0
Jacques Colombier,0.0
Thierry Cornillet,67.0
Arnaud Danjean,48.0
Michel Dantin,59.0
Rachida Dati,53.0
Angélique Delahaye,0.0
Karima Delli,40.0
Geoffroy Didier,0.0
Mireille DOrnano,0.0
Pascal Durand,58.0
Karine Gloanec Maurin,0.0
Sylvie Goddyn,54.0
Bruno Gollnisch,69.0
Nathalie Griesbeck,62.0
Françoise Grossetête,72.0
Sylvie Guillaume,56.0
Brice Hortefeux,60.0
Yannick Jadot,51.0
Jean-François Jalkh,61.0
France Jamet,57.0
Eva Joly,75.0
Marc Joulaud,51.0
Philippe Juvin,55.0
Patricia Lalonde,0.0
Alain Lamassoure,75.0
Jérôme Lavrilleux,0.0
Patrick Le Hyaric,62.0
Jean-Marie Le Pen,90.0
Gilles Lebreton,60.0
Christelle Lechevalier,50.0
Philippe Loiseau,61.0
Louis-Joseph Manscour,74.0
Dominique Martin,0.0
Edouard Martin,0.0
Emmanuel Maurel,45.0
Joëlle Mélin,69.0
Bernard Monot,56.0
Sophie Montel,49.0
Nadine Morano,55.0
Elisabeth Morin-Chartier,71.0
Renaud Muselier,59.0
Younous Omarjee,49.0
Gilles Pargneaux,62.0
Vincent Peillon,58.0
Florian Philippot,37.0
Maurice Ponga,71.0
Franck Proust,55.0
Christine Revault DAllonnes Bonnefoy,0.0
Dominique Riquet,72.0
Michèle Rivasi,66.0
Robert Rochefort,63.0
Virginie Rozière,42.0
Tokia Saïfi,59.0
Anne Sander,0.0
Jean-Luc Schaffhauser,63.0
Isabelle Thomas,0.0
Mylène Troszczynski,46.0
Marie-Christine Vergiat,62.0
Marie-Pierre Vieu,0.0
Reimer Böge,67.0
Elmar Brok,72.0
Klaus Buchner,0.0
Udo Bullmann,62.0
Reinhard Bütikofer,66.0
Daniel Caspary,42.0
Birgit Collin-Langen,62.0
Michael Cramer,69.0
Albert Dess,71.0
Michael Detjen,0.0
Stefan Eck,4.0
Christian Ehler,0.0
Cornelia Ernst,62.0
Ismail Ertug,43.0
Markus Ferber,54.0
Knut Fleckenstein,65.0
Karl-Heinz Florenz,71.0
Romeo Franz,0.0
Michael Gahler,58.0
Evelyne Gebhardt,65.0
Stefan Gehrold,0.0
Jens Geier,57.0
Arne Gericke,54.0
Sven Giegold,49.0
Jens Gieseke,0.0
Ingeborg Grässle,58.0
Thomas Händel,65.0
Rebecca Harms,62.0
Martin Häusling,58.0
Hans-Olaf Henkel,79.0
Maria Heubuch,60.0
Nadja Hirsch,40.0
Iris Hoffmann,55.0
Monika Hohlmeier,56.0
Peter Jahr,59.0
Petra Kammerevert,52.0
Sylvia-Yvonne Kaufmann,64.0
Ska Keller,37.0
Wolf Klinz,77.0
Dieter-Lebrecht Koch,66.0
Arndt Kohn,38.0
Bernd Kölmel,0.0
Dietmar Köster,62.0
Constanze Krehl,62.0
Werner Kuhn,0.0
Bernd Lange,63.0
Werner Langen,69.0
Jo Leinen,70.0
Peter Liese,53.0
Arne Lietz,42.0
Norbert Lins,41.0
Barbara Lochbihler,59.0
Sabine Lösing,63.0
Bernd Lucke,56.0
Thomas Mann,0.0
David McAllister,48.0
Gesine Meissner,67.0
Susanne Melior,60.0
Jörg Meuthen,57.0
Martina Michels,63.0
Ulrike Müller,47.0
Norbert Neuser,0.0
